unique_path_id,a0,loc0,lfw0,a1,loc1,lfw1,a2,loc2,lfw2,a3,loc3,lfw3,path_probability,recomputed_path_probability,path_probability_abs_error,all_transitions_positive,minimum_component_transition_probability,is_observed_candidate,is_unobserved_candidate,nominal_record_count,in_nominal_path_support,formal_stream_identity_available,formal_three_period_DAC_status,sampling_coverage_R15000,highest_listed_level,listed_level_count,hit_grid_max,hit_grid_excess,hit_road_max,hit_road_excess
34,2,1,0,4,4,2,6,2,1,6,5,3,4.75e-14,4.750000000000001e-14,1.262177448353619e-29,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,7.124999997461889e-10,q995,3,0,1,0,0
35,2,1,0,4,4,2,6,3,1,6,0,3,8.36e-14,8.360000000000003e-14,2.524354896707238e-29,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,1.2539999992137946e-09,q995,3,0,1,0,1
36,2,2,0,2,3,1,2,4,3,4,4,2,3.742931052e-08,3.742931052000001e-08,6.617444900424222e-24,True,0.005,True,False,1,True,True,RECOVERABLE_AS_EXISTING_NOMINAL_RECORD,0.0005612820905480902,q995,3,1,0,1,1
37,2,2,0,3,1,2,5,4,1,6,1,3,3.168e-15,3.168000000000001e-15,1.1832913578315177e-30,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,4.751999999887099e-11,q995,3,1,0,1,0
38,2,2,0,3,1,2,5,4,2,6,1,2,1.2672e-13,1.2672000000000001e-13,2.524354896707238e-29,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,1.9007999981935996e-09,q995,3,0,0,0,1
39,2,2,0,3,2,1,4,-1,1,4,1,2,4.8244541860465e-08,4.8244541860464986e-08,1.3234889800848443e-23,True,0.012,True,False,1,True,True,RECOVERABLE_AS_EXISTING_NOMINAL_RECORD,0.0007234063607233971,q995,3,0,0,0,1
40,2,2,0,3,4,1,4,3,3,4,0,2,3.756324e-10,3.756324000000003e-10,3.101927297073854e-25,True,0.012,True,False,1,True,True,RECOVERABLE_AS_EXISTING_NOMINAL_RECORD,5.634470127371813e-06,q99,2,1,0,1,1
41,2,2,0,3,4,2,5,1,2,6,1,2,2.69568e-13,2.6956800000000014e-13,1.5146129380243427e-28,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,4.043519991825517e-09,q995,3,0,0,0,1
42,2,2,0,3,4,2,5,1,2,6,4,2,7.488e-14,7.488000000000004e-14,3.7865323450608567e-29,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,1.123199999369253e-09,q995,3,0,0,0,1
43,2,2,0,3,5,1,4,5,2,5,8,3,6.37875e-09,6.37875e-09,0.0,True,0.012,True,False,1,True,True,RECOVERABLE_AS_EXISTING_NOMINAL_RECORD,9.5676673000322e-05,q995,3,0,1,0,1
44,2,2,0,3,5,2,5,2,1,6,-1,3,5.76e-16,5.760000000000002e-16,1.9721522630525295e-31,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,8.63999999996268e-12,q995,3,1,1,1,1
45,2,2,0,3,5,2,5,2,1,6,1,3,3.168e-15,3.168000000000001e-15,1.1832913578315177e-30,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,4.751999999887099e-11,q995,3,1,0,1,0
46,2,2,0,3,5,2,5,2,1,6,5,3,7.2e-16,7.200000000000003e-16,2.9582283945787943e-31,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,1.0799999999941683e-11,q995,3,1,1,1,1
