unique_path_id,a0,loc0,lfw0,is_observed_candidate,is_unobserved_candidate,nominal_record_count,in_nominal_path_support,path_id,scenario_id_in_state,joint_stream_position,wind_seed,resistance_seed,formal_stream_identity_available,formal_three_period_DAC_status
414,3,6,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
415,3,6,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
416,3,6,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
417,3,6,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
418,3,6,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
419,3,6,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
420,3,6,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
421,3,6,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
422,3,6,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
423,3,6,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
424,3,6,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
425,3,6,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
426,3,6,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
427,3,6,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
428,3,6,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
429,3,6,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
430,3,6,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
431,3,6,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
432,3,6,0,True,False,1,True,14545.0,14545.0,5054.0,351560970.0,21560762.0,True,RECOVERABLE_AS_EXISTING_NOMINAL_RECORD
433,3,6,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
434,3,6,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
435,3,6,0,False,True,0,False,,,,,,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY
