unique_path_id,a0,loc0,lfw0,a1,loc1,lfw1,a2,loc2,lfw2,a3,loc3,lfw3,initial_state_valid,all_stage_states_in_formal_space,all_transitions_positive,path_complete_no_nan,formal_three_period_DAC_recoverable,validity_status
54,2,2,0,4,4,1,5,1,1,5,-2,0,True,True,True,True,True,LEGAL_WITH_EXISTING_FORMAL_RECORD
55,2,2,0,4,4,1,5,3,2,5,4,1,True,True,True,True,True,LEGAL_WITH_EXISTING_FORMAL_RECORD
56,2,2,0,4,4,2,5,1,2,6,4,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
57,2,2,0,4,4,2,6,1,2,6,1,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
58,2,2,0,4,4,2,6,1,2,6,4,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
59,2,2,0,4,4,2,6,2,1,6,5,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
60,2,2,0,4,5,2,3,6,2,2,3,3,True,True,True,True,True,LEGAL_WITH_EXISTING_FORMAL_RECORD
61,2,2,0,4,5,2,5,2,1,6,-1,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
62,2,2,0,4,5,2,5,2,1,6,5,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
63,2,2,0,4,5,2,5,3,1,6,0,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
64,2,2,0,4,5,2,6,2,1,6,-1,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
65,2,2,0,4,5,2,6,2,1,6,5,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
66,2,2,0,4,5,2,6,2,2,6,4,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
67,2,2,0,4,5,2,6,2,2,6,5,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
68,2,2,0,4,5,2,6,3,1,6,0,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
69,2,3,0,3,0,2,5,3,1,6,0,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
70,2,3,0,3,1,2,5,4,1,6,1,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
71,2,3,0,3,1,2,5,4,2,6,1,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
72,2,3,0,3,5,2,5,2,1,6,5,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
73,2,3,0,3,6,2,5,3,1,6,0,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
74,2,3,0,3,6,2,5,3,1,6,1,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
75,2,3,0,3,6,2,5,4,1,6,1,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
76,2,3,0,3,6,2,5,4,2,6,1,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
77,2,3,0,4,0,2,5,3,1,6,0,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
78,2,3,0,4,0,2,6,3,1,6,0,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
79,2,3,0,4,1,2,5,4,2,6,1,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
80,2,3,0,4,1,2,6,1,2,6,1,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
81,2,3,0,4,1,2,6,3,1,6,0,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
82,2,3,0,4,1,2,6,4,2,6,1,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
83,2,3,0,4,2,0,5,2,2,4,0,3,True,True,True,True,True,LEGAL_WITH_EXISTING_FORMAL_RECORD
84,2,3,0,4,2,1,4,3,2,6,0,2,True,True,True,True,True,LEGAL_WITH_EXISTING_FORMAL_RECORD
85,2,3,0,4,4,2,6,1,2,6,1,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
86,2,3,0,4,5,2,5,2,1,6,5,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
87,2,3,0,4,5,2,6,2,1,6,5,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
88,2,3,0,4,6,2,5,3,1,6,0,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
89,2,3,0,4,6,2,6,3,1,6,0,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
90,2,4,0,2,2,0,4,0,1,6,-2,2,True,True,True,True,True,LEGAL_WITH_EXISTING_FORMAL_RECORD
91,2,4,0,3,1,2,5,3,1,6,0,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
92,2,4,0,3,1,2,5,4,1,6,1,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
93,2,4,0,3,1,2,5,4,2,6,1,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
94,2,4,0,3,2,1,4,0,2,5,1,3,True,True,True,True,True,LEGAL_WITH_EXISTING_FORMAL_RECORD
95,2,4,0,3,4,1,3,3,1,5,2,2,True,True,True,True,True,LEGAL_WITH_EXISTING_FORMAL_RECORD
96,2,4,0,3,7,2,5,4,1,6,1,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
97,2,4,0,3,7,2,5,4,2,6,1,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
98,2,4,0,4,1,2,5,3,1,6,0,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
99,2,4,0,4,1,2,5,4,2,6,1,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
100,2,4,0,4,1,2,6,1,2,6,1,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
101,2,4,0,4,1,2,6,3,1,6,0,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
102,2,4,0,4,1,2,6,4,1,4,1,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
103,2,4,0,4,1,2,6,4,2,6,1,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
104,2,4,0,4,2,1,2,1,1,3,2,2,True,True,True,True,True,LEGAL_WITH_EXISTING_FORMAL_RECORD
105,2,4,0,4,2,2,4,3,3,5,6,3,True,True,True,True,True,LEGAL_WITH_EXISTING_FORMAL_RECORD
106,2,4,0,4,4,2,6,1,2,6,1,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
107,2,4,0,4,5,0,4,4,1,5,4,2,True,True,True,True,True,LEGAL_WITH_EXISTING_FORMAL_RECORD
108,2,4,0,4,5,1,5,5,2,5,4,3,True,True,True,True,True,LEGAL_WITH_EXISTING_FORMAL_RECORD
109,2,4,0,4,5,1,5,5,2,5,6,3,True,True,True,True,True,LEGAL_WITH_EXISTING_FORMAL_RECORD
110,2,5,0,2,4,1,4,3,2,6,5,3,True,True,True,True,True,LEGAL_WITH_EXISTING_FORMAL_RECORD
111,2,5,0,3,2,1,5,5,3,6,2,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
112,2,5,0,3,2,2,5,2,1,6,-1,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
113,2,5,0,3,2,2,5,3,1,6,0,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
114,2,5,0,3,2,2,5,4,1,6,1,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
115,2,5,0,3,2,2,5,4,2,6,1,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
116,2,5,0,3,2,2,5,5,1,6,2,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
117,2,5,0,3,2,2,5,5,1,6,8,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
118,2,5,0,3,2,2,5,5,2,6,2,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
119,2,5,0,3,2,2,5,5,3,6,2,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
120,2,5,0,3,4,2,5,2,1,6,5,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
121,2,5,0,3,5,2,5,2,1,6,-1,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
122,2,5,0,3,5,2,5,2,1,6,5,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
123,2,5,0,3,5,2,5,3,1,6,0,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
124,2,5,0,3,6,2,5,3,1,6,0,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
125,2,5,0,4,2,2,5,4,2,6,1,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
126,2,5,0,4,2,2,6,4,2,6,1,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
127,2,5,0,4,2,2,6,5,1,4,2,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
128,2,5,0,4,2,2,6,5,1,4,8,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
129,2,5,0,4,2,2,6,5,2,6,2,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
130,2,5,0,4,2,2,6,5,3,6,2,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
131,2,5,0,4,4,2,5,2,1,6,5,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
132,2,5,0,4,4,2,6,1,2,6,1,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
133,2,5,0,4,4,2,6,1,2,6,4,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
134,2,5,0,4,4,2,6,2,1,6,5,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
135,2,5,0,4,5,1,6,4,1,5,1,1,True,True,True,True,True,LEGAL_WITH_EXISTING_FORMAL_RECORD
136,2,5,0,4,5,2,5,2,1,6,-1,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
137,2,5,0,4,5,2,5,2,1,6,0,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
138,2,5,0,4,5,2,5,2,1,6,5,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
139,2,5,0,4,5,2,5,3,1,6,0,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
140,2,5,0,4,5,2,6,2,1,6,-1,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
141,2,5,0,4,5,2,6,2,1,6,5,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
142,2,5,0,4,5,2,6,3,1,6,0,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
143,2,6,0,2,5,0,4,4,2,4,3,2,True,True,True,True,True,LEGAL_WITH_EXISTING_FORMAL_RECORD
144,2,6,0,2,7,1,4,6,2,5,6,3,True,True,True,True,True,LEGAL_WITH_EXISTING_FORMAL_RECORD
145,2,6,0,3,3,1,5,0,3,6,3,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
146,2,6,0,3,3,1,5,6,3,6,4,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
147,2,6,0,3,3,2,5,0,1,6,3,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
148,2,6,0,3,3,2,5,0,3,6,3,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
149,2,6,0,3,3,2,5,1,1,6,-2,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
150,2,6,0,3,3,2,5,1,1,6,4,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
151,2,6,0,3,3,2,5,1,2,6,1,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
152,2,6,0,3,3,2,5,1,2,6,4,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
153,2,6,0,3,3,2,5,3,1,6,0,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
154,2,6,0,3,3,2,5,4,1,6,1,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
155,2,6,0,3,3,2,5,4,2,6,1,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
156,2,6,0,3,3,2,5,6,1,6,3,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
157,2,6,0,3,3,2,5,6,1,6,4,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
158,2,6,0,3,3,2,5,6,1,6,9,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
159,2,6,0,3,3,2,5,6,3,6,4,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
160,2,6,0,3,4,1,5,4,0,5,1,1,True,True,True,True,True,LEGAL_WITH_EXISTING_FORMAL_RECORD
161,2,6,0,3,4,2,5,1,1,6,-2,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
162,2,6,0,3,4,2,5,1,1,6,4,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
163,2,6,0,3,4,2,5,1,2,6,1,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
164,2,6,0,3,4,2,5,1,2,6,4,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
165,2,6,0,3,4,2,5,2,1,6,5,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
166,2,6,0,3,4,2,5,3,1,6,0,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
167,2,6,0,3,4,2,5,7,1,6,4,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
168,2,6,0,3,5,2,5,2,1,6,5,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
169,2,6,0,3,6,2,5,3,1,6,0,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
170,2,6,0,3,7,2,5,4,1,6,1,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
171,2,6,0,3,7,2,5,4,2,6,1,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
172,2,6,0,3,8,1,3,5,2,5,4,3,True,True,True,True,True,LEGAL_WITH_EXISTING_FORMAL_RECORD
173,2,6,0,4,3,2,5,3,1,6,0,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
174,2,6,0,4,3,2,6,0,1,4,3,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
175,2,6,0,4,3,2,6,3,1,6,0,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
176,2,6,0,4,3,2,6,6,1,4,3,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
177,2,6,0,4,3,2,6,6,3,6,4,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
178,2,6,0,4,4,2,5,1,2,6,1,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
179,2,6,0,4,4,2,5,1,2,6,4,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
180,2,6,0,4,4,2,5,2,1,6,5,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
181,2,6,0,4,4,2,5,3,1,6,0,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
182,2,6,0,4,4,2,5,4,2,6,1,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
183,2,6,0,4,4,2,6,1,1,4,-2,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
184,2,6,0,4,4,2,6,1,1,4,4,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
185,2,6,0,4,4,2,6,1,2,4,-2,1,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
186,2,6,0,4,4,2,6,1,2,6,1,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
187,2,6,0,4,4,2,6,1,2,6,4,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
188,2,6,0,4,4,2,6,2,1,6,5,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
189,2,6,0,4,4,2,6,3,1,6,0,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
190,2,6,0,4,5,0,4,7,1,5,5,2,True,True,True,True,True,LEGAL_WITH_EXISTING_FORMAL_RECORD
191,2,6,0,4,5,2,5,2,1,6,5,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
192,2,6,0,4,5,2,6,2,1,6,5,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
193,2,6,0,4,6,2,5,3,1,6,0,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
194,2,6,0,4,6,2,6,3,1,6,0,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
195,2,6,0,4,7,1,5,4,2,5,3,3,True,True,True,True,True,LEGAL_WITH_EXISTING_FORMAL_RECORD
196,2,7,0,2,5,0,3,3,1,5,2,2,True,True,True,True,True,LEGAL_WITH_EXISTING_FORMAL_RECORD
197,2,7,0,3,4,1,3,2,2,5,4,3,True,True,True,True,True,LEGAL_WITH_EXISTING_FORMAL_RECORD
198,2,7,0,3,4,1,5,1,3,6,4,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
199,2,7,0,3,4,2,5,1,1,6,-2,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
200,2,7,0,3,4,2,5,1,1,6,-1,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
201,2,7,0,3,4,2,5,1,1,6,1,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
202,2,7,0,3,4,2,5,1,1,6,4,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
203,2,7,0,3,4,2,5,1,2,6,1,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
204,2,7,0,3,4,2,5,1,2,6,4,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
205,2,7,0,3,4,2,5,1,3,6,4,2,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
206,2,7,0,3,4,2,5,2,1,6,-1,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
207,2,7,0,3,4,2,5,2,1,6,5,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
208,2,7,0,3,4,2,5,3,1,6,0,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
209,2,7,0,3,4,2,5,4,1,6,1,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
210,2,7,0,3,4,2,5,7,1,6,4,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
211,2,7,0,3,4,2,5,7,1,6,5,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
212,2,7,0,3,5,2,5,2,1,6,-1,3,True,True,True,True,False,LEGAL_PATH_FORMAL_DAC_UNRESOLVED
