dataset_role,initial_state_id,a0,loc0,lfw0,R,I,N,D_rows,D_columns,A_sites,A_nodes,weight_sum,dimension_ok,domain_ok,unreachable_nonfinite_C_count,path_order_ok,row_alignment_ok,D_total_max_abs_error,A_share_max_abs_error,C_mean_max_abs_error,stagewise_wind_range_ok,unobserved_candidate_records,block_pass
validation-1,1,2,1,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,1761,1,1,5.11590769747272e-13,5.55111512312578e-16,5.32907051820075e-14,1,0,1
validation-1,2,2,2,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,1902,1,1,5.11590769747272e-13,4.44089209850063e-16,4.9737991503207e-14,1,0,1
validation-1,3,2,3,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,1294,1,1,5.11590769747272e-13,4.44089209850063e-16,4.9737991503207e-14,1,0,1
validation-1,4,2,4,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,1814,1,1,5.11590769747272e-13,5.55111512312578e-16,5.32907051820075e-14,1,0,1
validation-1,5,2,5,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,1168,1,1,5.11590769747272e-13,4.44089209850063e-16,5.32907051820075e-14,1,0,1
validation-1,6,2,6,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,1286,1,1,5.11590769747272e-13,5.55111512312578e-16,4.9737991503207e-14,1,0,1
validation-1,7,2,7,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,927,1,1,4.83169060316868e-13,5.55111512312578e-16,4.9737991503207e-14,1,0,1
validation-1,8,3,1,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,18867,1,1,5.11590769747272e-13,5.55111512312578e-16,5.6843418860808e-14,1,0,1
validation-1,9,3,2,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,20335,1,1,5.11590769747272e-13,5.55111512312578e-16,5.6843418860808e-14,1,0,1
validation-1,10,3,3,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,20372,1,1,5.11590769747272e-13,5.55111512312578e-16,5.32907051820075e-14,1,0,1
validation-1,11,3,4,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,19153,1,1,5.11590769747272e-13,5.55111512312578e-16,5.32907051820075e-14,1,0,1
validation-1,12,3,5,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,17505,1,1,5.11590769747272e-13,5.55111512312578e-16,5.32907051820075e-14,1,0,1
validation-1,13,3,6,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,12706,1,1,5.11590769747272e-13,5.55111512312578e-16,5.32907051820075e-14,1,0,1
validation-1,14,3,7,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,9366,1,1,5.11590769747272e-13,5.55111512312578e-16,4.9737991503207e-14,1,0,1
validation-1,15,4,1,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,137357,1,1,5.11590769747272e-13,5.55111512312578e-16,6.3948846218409e-14,1,0,1
validation-1,16,4,2,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,146363,1,1,5.11590769747272e-13,5.55111512312578e-16,6.3948846218409e-14,1,0,1
validation-1,17,4,3,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,148804,1,1,5.11590769747272e-13,5.55111512312578e-16,5.6843418860808e-14,1,0,1
validation-1,18,4,4,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,139847,1,1,5.11590769747272e-13,5.55111512312578e-16,6.3948846218409e-14,1,0,1
validation-1,19,4,5,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,120413,1,1,5.11590769747272e-13,5.55111512312578e-16,6.03961325396085e-14,1,0,1
validation-1,20,4,6,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,95984,1,1,5.11590769747272e-13,5.55111512312578e-16,5.6843418860808e-14,1,0,1
validation-1,21,4,7,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,66824,1,1,5.11590769747272e-13,5.55111512312578e-16,5.6843418860808e-14,1,0,1
validation-1,22,5,1,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,485474,1,1,5.11590769747272e-13,5.55111512312578e-16,6.03961325396085e-14,1,0,1
validation-1,23,5,2,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,519855,1,1,5.11590769747272e-13,5.55111512312578e-16,6.3948846218409e-14,1,0,1
validation-1,24,5,3,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,504627,1,1,5.11590769747272e-13,5.55111512312578e-16,6.3948846218409e-14,1,0,1
validation-1,25,5,4,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,471627,1,1,5.11590769747272e-13,5.55111512312578e-16,6.3948846218409e-14,1,0,1
validation-1,26,5,5,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,403653,1,1,5.11590769747272e-13,5.55111512312578e-16,6.3948846218409e-14,1,0,1
validation-1,27,5,6,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,310925,1,1,5.11590769747272e-13,5.55111512312578e-16,6.3948846218409e-14,1,0,1
validation-1,28,5,7,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,227456,1,1,5.11590769747272e-13,5.55111512312578e-16,6.03961325396085e-14,1,0,1
validation-1,29,6,1,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,726169,1,1,5.11590769747272e-13,5.55111512312578e-16,6.3948846218409e-14,1,0,1
validation-1,30,6,2,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,777929,1,1,5.11590769747272e-13,5.55111512312578e-16,6.3948846218409e-14,1,0,1
validation-1,31,6,3,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,783376,1,1,5.11590769747272e-13,5.55111512312578e-16,6.3948846218409e-14,1,0,1
validation-1,32,6,4,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,707914,1,1,5.11590769747272e-13,5.55111512312578e-16,6.03961325396085e-14,1,0,1
validation-1,33,6,5,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,616701,1,1,5.11590769747272e-13,5.55111512312578e-16,6.03961325396085e-14,1,0,1
validation-1,34,6,6,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,477957,1,1,5.11590769747272e-13,5.55111512312578e-16,6.3948846218409e-14,1,0,1
validation-1,35,6,7,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,350824,1,1,5.11590769747272e-13,5.55111512312578e-16,6.3948846218409e-14,1,0,1
validation-2,1,2,1,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,2358,1,1,5.11590769747272e-13,5.55111512312578e-16,4.9737991503207e-14,1,0,1
validation-2,2,2,2,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,1854,1,1,5.11590769747272e-13,5.55111512312578e-16,4.9737991503207e-14,1,0,1
validation-2,3,2,3,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,1654,1,1,5.11590769747272e-13,4.44089209850063e-16,5.32907051820075e-14,1,0,1
validation-2,4,2,4,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,1408,1,1,5.11590769747272e-13,5.55111512312578e-16,4.9737991503207e-14,1,0,1
validation-2,5,2,5,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,984,1,1,4.54747350886464e-13,5.55111512312578e-16,4.9737991503207e-14,1,0,1
validation-2,6,2,6,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,1235,1,1,5.11590769747272e-13,5.55111512312578e-16,5.32907051820075e-14,1,0,1
validation-2,7,2,7,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,759,1,1,4.54747350886464e-13,5.55111512312578e-16,5.32907051820075e-14,1,0,1
validation-2,8,3,1,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,18938,1,1,5.11590769747272e-13,5.55111512312578e-16,5.32907051820075e-14,1,0,1
validation-2,9,3,2,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,21401,1,1,5.11590769747272e-13,5.55111512312578e-16,5.6843418860808e-14,1,0,1
validation-2,10,3,3,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,20130,1,1,5.11590769747272e-13,5.55111512312578e-16,5.6843418860808e-14,1,0,1
validation-2,11,3,4,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,18521,1,1,5.11590769747272e-13,5.55111512312578e-16,5.6843418860808e-14,1,0,1
validation-2,12,3,5,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,16687,1,1,5.11590769747272e-13,5.55111512312578e-16,5.32907051820075e-14,1,0,1
validation-2,13,3,6,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,11564,1,1,5.11590769747272e-13,5.55111512312578e-16,5.6843418860808e-14,1,0,1
validation-2,14,3,7,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,9338,1,1,5.11590769747272e-13,5.55111512312578e-16,5.32907051820075e-14,1,0,1
validation-2,15,4,1,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,138273,1,1,5.11590769747272e-13,5.55111512312578e-16,5.6843418860808e-14,1,0,1
validation-2,16,4,2,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,155764,1,1,5.11590769747272e-13,5.55111512312578e-16,6.03961325396085e-14,1,0,1
validation-2,17,4,3,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,149343,1,1,5.11590769747272e-13,5.55111512312578e-16,6.03961325396085e-14,1,0,1
validation-2,18,4,4,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,141777,1,1,5.11590769747272e-13,5.55111512312578e-16,6.3948846218409e-14,1,0,1
validation-2,19,4,5,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,122137,1,1,5.11590769747272e-13,5.55111512312578e-16,6.3948846218409e-14,1,0,1
validation-2,20,4,6,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,94788,1,1,5.11590769747272e-13,5.55111512312578e-16,5.6843418860808e-14,1,0,1
validation-2,21,4,7,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,65506,1,1,5.11590769747272e-13,5.55111512312578e-16,6.03961325396085e-14,1,0,1
validation-2,22,5,1,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,483784,1,1,5.11590769747272e-13,5.55111512312578e-16,6.3948846218409e-14,1,0,1
validation-2,23,5,2,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,516102,1,1,5.11590769747272e-13,5.55111512312578e-16,6.3948846218409e-14,1,0,1
validation-2,24,5,3,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,503401,1,1,5.11590769747272e-13,5.55111512312578e-16,6.3948846218409e-14,1,0,1
validation-2,25,5,4,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,472957,1,1,5.11590769747272e-13,5.55111512312578e-16,6.03961325396085e-14,1,0,1
validation-2,26,5,5,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,404627,1,1,5.11590769747272e-13,5.55111512312578e-16,6.03961325396085e-14,1,0,1
validation-2,27,5,6,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,311423,1,1,5.11590769747272e-13,5.55111512312578e-16,6.03961325396085e-14,1,0,1
validation-2,28,5,7,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,227985,1,1,5.11590769747272e-13,5.55111512312578e-16,6.03961325396085e-14,1,0,1
validation-2,29,6,1,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,724185,1,1,5.11590769747272e-13,5.55111512312578e-16,6.3948846218409e-14,1,0,1
validation-2,30,6,2,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,768730,1,1,5.11590769747272e-13,5.55111512312578e-16,6.3948846218409e-14,1,0,1
validation-2,31,6,3,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,789264,1,1,5.11590769747272e-13,5.55111512312578e-16,6.03961325396085e-14,1,0,1
validation-2,32,6,4,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,711587,1,1,5.11590769747272e-13,5.55111512312578e-16,6.03961325396085e-14,1,0,1
validation-2,33,6,5,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,619417,1,1,5.11590769747272e-13,5.55111512312578e-16,6.3948846218409e-14,1,0,1
validation-2,34,6,6,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,476102,1,1,5.11590769747272e-13,5.55111512312578e-16,6.03961325396085e-14,1,0,1
validation-2,35,6,7,0,15000,4,33,15000,33,4,33,0.999999999999968,1,1,350292,1,1,5.11590769747272e-13,5.55111512312578e-16,6.03961325396085e-14,1,0,1
