dataset_role,initial_state_id,a0,loc0,lfw0,record_count,weight_sum,D_mean_kg,D_q95_kg,D_q99_kg,full_loss_rate,A0_share,reachable_C_mean_km,W3_failed_line_count_mean,W3_closed_road_count_mean,observed_candidate_records,unobserved_candidate_records,path_order_internal_ok,D_domain_ok,wind_range_ok,D_mean_delta_vs_nominal,D_q95_delta_vs_nominal,D_q99_delta_vs_nominal,full_loss_rate_delta_vs_nominal,A0_share_delta_vs_nominal,reachable_C_mean_delta_vs_nominal,failed_line_mean_delta_vs_nominal,closed_road_mean_delta_vs_nominal
validation-1,11,3,4,0,15000,0.999999999999968,35.89346207348,244.401712898562,405.313258598587,0,0.00967323232323233,19.1812567148347,0.887133333333333,0.272733333333333,4,0,1,1,1,0.709980088918009,0.559146823772949,0,0,0.000781818181818184,-0.0265946194705151,-0.00460000000000005,0.00106666666666666
validation-1,12,3,5,0,15000,0.999999999999968,28.6449190373582,224.204238605679,405.313258598587,0,0.0088409090909091,19.1604907964521,0.760933333333333,0.240533333333333,11,0,1,1,1,0.660738801152839,5.4005400540064,0,0,-0.000146969696969696,-0.00206508810475725,0.00793333333333335,0.00219999999999998
validation-1,13,3,6,0,15000,0.999999999999968,19.5804671376228,144.83266508469,374.764749202193,0,0.00641717171717172,19.1153206387291,0.544266666666667,0.1654,4,0,1,1,1,-0.0337488294283936,6.50519597414328,-9.27910972915475,0,0.000411616161616161,-0.00500963665451692,-0.0093333333333333,0.00113333333333332
validation-1,14,3,7,0,15000,0.999999999999968,13.1783905663293,91.6455281891825,336.306357908518,0,0.00473030303030303,19.0882862910404,0.390266666666667,0.118066666666667,4,0,1,1,1,0.326687214175955,4.3640727709134,4.09131822273099,0,-3.88888888888869e-05,-0.00256139114911491,-0.00146666666666667,-0.00126666666666667
validation-1,15,4,1,0,15000,0.999999999999968,185.913809562773,532.689632599624,607.969887897881,0,0.0693722222222221,20.2072867608943,4.85673333333333,2.06846666666667,8,0,1,1,1,-0.718326378092684,0,0,0,-0.000125252525252514,-0.0292428998120933,0.00820000000000043,-0.0152000000000001
validation-1,16,4,2,0,15000,0.999999999999968,190.490776350361,533.262417150806,607.969887897881,0,0.0739207070707069,20.2796449985439,5.03673333333333,2.1834,12,0,1,1,1,1.01324677922338,0.572784551181712,0,0,-0.00193838383838371,-0.0131527262283413,0.026933333333333,-0.024
validation-1,17,4,3,0,15000,0.999999999999968,184.640391311857,532.171398958077,607.969887897881,0,0.0751535353535351,20.2793955901961,5.0114,2.19553333333333,8,0,1,1,1,1.00053641727803,0.0272754548178682,0,0,8.28282828282262e-05,0.0336309767392606,0.00360000000000049,0.0199333333333329
validation-1,18,4,4,0,15000,0.999999999999968,162.584876669484,497.790688159725,607.969887897881,0,0.0706297979797978,20.149363731523,4.54213333333333,1.97213333333333,11,0,1,1,1,0.108956350180392,-0.0136377274089341,0,0,-0.00196515151515143,-0.0160379331217406,-0.0390000000000006,-0.0316666666666667
validation-1,19,4,5,0,15000,0.999999999999968,131.129531134931,429.861167934975,597.605215066961,0,0.0608146464646464,20.0122950120599,3.87106666666667,1.6632,6,0,1,1,1,-0.633572448154041,1.90928183727402,-10.36467283092,0,-0.000858585858585864,0.0286683398417189,-0.0368666666666666,-0.00960000000000005
validation-1,20,4,6,0,15000,0.999999999999968,97.1468419569228,405.313258598587,532.689632599624,0,0.0484767676767677,19.7834220618512,3.069,1.30226666666667,8,0,1,1,1,-0.377819600141891,0,-14.728745601832,0,0.000742929292929281,-0.0280937712971614,-0.0346000000000002,0.0134666666666667
validation-1,21,4,7,0,15000,0.999999999999968,67.5037321914011,366.650301393775,463.955486457737,0,0.033749494949495,19.5736077509356,2.22673333333333,0.880733333333333,9,0,1,1,1,0.39138459300483,1.70471592613654,0,0,0.000266161616161609,0.00228840118675677,0.0169333333333332,-0.00493333333333335
validation-1,22,5,1,0,15000,0.999999999999968,376.814517815415,607.969887897881,607.969887897881,0,0.245188888888885,21.2906575770632,10.8587333333333,6.16413333333333,11,0,1,1,1,-0.807262544436242,0,0,0,0.00109494949494926,0.0062883663498603,-0.0175999999999998,0.0123999999999995
validation-1,23,5,2,0,15000,0.999999999999968,385.712534889851,607.969887897881,607.969887897881,0,0.262553030303026,21.3335889774736,11.2636,6.48486666666667,10,0,1,1,1,-0.551127840057234,0,0,0,0.00139848484848482,-0.101652989028771,-0.0131999999999994,0.0272666666666668
validation-1,24,5,3,0,15000,0.999999999999968,369.900826446279,607.969887897881,607.969887897881,0,0.254862121212117,21.3404452962997,10.9816666666667,6.23526666666667,14,0,1,1,1,0.558801334679117,0,0,0,0.000331818181818211,-0.000229285278877001,0.000133333333334207,-0.0210666666666661
validation-1,25,5,4,0,15000,0.999999999999968,343.974924765203,607.969887897881,607.969887897881,0,0.238195454545451,21.1977414927958,10.2501333333333,5.73113333333333,8,0,1,1,1,0.685995872314493,0,0,0,-0.000610606060606089,-0.0406300511704991,-0.0621333333333318,-0.0372000000000003
validation-1,26,5,5,0,15000,0.999999999999968,294.419096455098,607.969887897881,607.969887897881,0,0.203865151515149,20.9121528575551,8.88606666666667,4.81513333333333,6,0,1,1,1,0.587858785878325,0,0,0,-0.000430303030303142,-0.0233788742321472,-0.0115333333333343,-0.0191333333333326
validation-1,27,5,6,0,15000,0.999999999999968,235.1882279137,587.240542236042,607.969887897881,0,0.157032828282827,20.5857080758277,7.26646666666667,3.724,6,0,1,1,1,0.916291629163027,-3.84583912936682,0,0,-0.000705555555555459,0.0116639069013118,0.0203333333333333,0.0022000000000002
validation-1,28,5,7,0,15000,0.999999999999968,172.95473183682,532.689632599624,607.969887897881,0,0.114876767676767,20.1911398705816,5.5374,2.69306666666667,5,0,1,1,1,1.13496804225858,0,0,0,0.000345959595959552,0.0262881629329641,0.0443999999999996,0.0256666666666665
validation-1,29,6,1,0,15000,0.999999999999968,463.907572575439,607.969887897881,607.969887897881,0,0.366752020202013,21.2148504543973,14.3748666666667,9.04473333333333,10,0,1,1,1,1.76977697769843,0,0,0,0.000864646464646679,-0.0412696541367907,0.0758666666666663,0.043333333333333
validation-1,30,6,2,0,15000,0.999999999999968,471.637200083644,607.969887897881,607.969887897881,0,0.392893434343426,21.2817128663621,14.929,9.55486666666667,6,0,1,1,1,0.865195610470494,0,0,0,0.00481969696969692,-0.114707886153088,0.0167999999999999,0.0859333333333332
validation-1,31,6,3,0,15000,0.999999999999968,464.608406295175,607.969887897881,607.969887897881,0,0.395644444444437,21.2403018471574,14.8491333333333,9.50266666666667,6,0,1,1,1,-0.419914718744621,0,0,0,-0.00236161616161551,-0.03862749862407,-0.0191333333333343,-0.0327999999999999
validation-1,32,6,4,0,15000,0.999999999999968,432.631935920864,607.969887897881,607.969887897881,0,0.357532323232316,21.3070030678676,13.6580666666667,8.53286666666667,9,0,1,1,1,-0.431261307949967,0,0,0,-0.00169646464646517,0.181551180207894,0.0163999999999991,0.0255333333333336
validation-1,33,6,5,0,15000,0.999999999999968,390.820827537298,607.969887897881,607.969887897881,0,0.311465151515147,21.0181874525856,12.1507333333333,7.36906666666667,10,0,1,1,1,-0.943567083981691,0,0,0,0.00354747474747458,-0.114417819921105,-0.00580000000000069,0.061466666666667
validation-1,34,6,6,0,15000,0.999999999999968,330.017965432906,607.969887897881,607.969887897881,0,0.241392424242421,20.8382337325621,9.9472,5.67573333333333,11,0,1,1,1,0.596877869605237,0,0,0,0.00172979797979772,0.0439802818213977,0.0302000000000007,0.000200000000000422
