initial_state_id,a0,loc0,lfw0,R,K_exact,compression_ratio,atoms_removed,max_class_size,singleton_atom_count,singleton_atom_share,duplicate_class_count,aggregate_weight_sum,all_member_key_match,within_group_pairs_checked,within_group_max_distance,cross_group_pairs_checked,cross_group_min_distance,distance_validation_pass,original_observed_candidate_records,aggregated_observed_candidate_records,unobserved_candidate_records,risk_tier,key_double_column_count,key_definition
15,4,1,0,15000,9136,0.609066666666667,5864,4484,8972,0.982049036777583,164,0.999999999999984,1,164,0,50,5.23423742924589e-08,1,8,8,0,not_selected,297,D33+A132+Cmasked132 exact double key
16,4,2,0,15000,9254,0.616933333333333,5746,4312,9102,0.983574670412794,152,0.999999999999982,1,152,0,50,1.01684843992985e-06,1,12,12,0,not_selected,297,D33+A132+Cmasked132 exact double key
17,4,3,0,15000,9103,0.606866666666667,5897,4398,8937,0.981764253542788,166,0.999999999999983,1,166,0,50,2.22075591700859e-06,1,8,8,0,not_selected,297,D33+A132+Cmasked132 exact double key
18,4,4,0,15000,8433,0.5622,6567,5035,8291,0.983161389778252,142,0.999999999999987,1,142,0,50,6.2999878920456e-06,1,11,11,0,median,297,D33+A132+Cmasked132 exact double key
19,4,5,0,15000,7334,0.488933333333333,7666,6207,7181,0.979138260158167,153,0.999999999999997,1,153,0,50,1.8577976984555e-06,1,6,6,0,not_selected,297,D33+A132+Cmasked132 exact double key
20,4,6,0,15000,5940,0.396,9060,7737,5801,0.976599326599327,139,1,1,139,0,50,1.1331240184838e-05,1,8,8,0,not_selected,297,D33+A132+Cmasked132 exact double key
21,4,7,0,15000,4504,0.300266666666667,10496,9352,4376,0.97158081705151,128,1,1,128,0,50,2.81287047494249e-06,1,9,9,0,not_selected,297,D33+A132+Cmasked132 exact double key
22,5,1,0,15000,13407,0.8938,1593,1173,13310,0.992764973521295,97,0.999999999999967,1,97,0,50,2.49138682766297e-08,1,11,11,0,not_selected,297,D33+A132+Cmasked132 exact double key
23,5,2,0,15000,13582,0.905466666666667,1418,972,13483,0.992710940951259,99,0.999999999999968,1,99,0,50,2.2583479072267e-08,1,10,10,0,not_selected,297,D33+A132+Cmasked132 exact double key
24,5,3,0,15000,13363,0.890866666666667,1637,1124,13257,0.992067649479907,106,0.999999999999966,1,106,0,50,2.56630501613205e-07,1,14,14,0,not_selected,297,D33+A132+Cmasked132 exact double key
25,5,4,0,15000,12986,0.865733333333333,2014,1377,12883,0.992068381333744,103,0.999999999999965,1,103,0,50,4.47366989565264e-05,1,8,8,0,not_selected,297,D33+A132+Cmasked132 exact double key
26,5,5,0,15000,11918,0.794533333333333,3082,2155,11784,0.988756502768921,134,0.999999999999967,1,134,0,50,7.80850199283007e-07,1,6,6,0,not_selected,297,D33+A132+Cmasked132 exact double key
27,5,6,0,15000,10470,0.698,4530,3203,10317,0.985386819484241,153,0.999999999999974,1,153,0,50,7.2243380058425e-06,1,6,6,0,not_selected,297,D33+A132+Cmasked132 exact double key
28,5,7,0,15000,8656,0.577066666666667,6344,4718,8465,0.97793438077634,191,0.999999999999984,1,191,0,50,8.94835237142666e-06,1,5,5,0,not_selected,297,D33+A132+Cmasked132 exact double key
29,6,1,0,15000,14544,0.9696,456,339,14492,0.996424642464246,52,0.999999999999968,1,52,0,50,1.06824742187805e-06,1,10,10,0,not_selected,297,D33+A132+Cmasked132 exact double key
30,6,2,0,15000,14609,0.973933333333333,391,289,14567,0.997125059894586,42,0.999999999999968,1,42,0,50,1.68982514905202e-06,1,6,6,0,high,297,D33+A132+Cmasked132 exact double key
31,6,3,0,15000,14566,0.971066666666667,434,300,14513,0.996361389537279,53,0.999999999999968,1,53,0,50,7.99033430337595e-06,1,6,6,0,not_selected,297,D33+A132+Cmasked132 exact double key
32,6,4,0,15000,14257,0.950466666666667,743,505,14188,0.995160272147016,69,0.999999999999968,1,69,0,50,5.0440575751131e-06,1,9,9,0,not_selected,297,D33+A132+Cmasked132 exact double key
33,6,5,0,15000,13640,0.909333333333333,1360,843,13539,0.992595307917889,101,0.999999999999967,1,101,0,50,2.11325694894321e-06,1,10,10,0,not_selected,297,D33+A132+Cmasked132 exact double key
34,6,6,0,15000,12557,0.837133333333333,2443,1463,12414,0.988611929601019,143,0.999999999999964,1,143,0,50,7.37580890192375e-07,1,11,11,0,not_selected,297,D33+A132+Cmasked132 exact double key
35,6,7,0,15000,11066,0.737733333333333,3934,2456,10865,0.981836255196096,201,0.99999999999997,1,201,0,50,4.38081310592162e-06,1,10,10,0,not_selected,297,D33+A132+Cmasked132 exact double key
