N,matrix,from_state,to_state,config_probability,transition_count,from_count,sample_probability,abs_error
30000,intensity,6,6,0.38,620755,1631908,0.380386026663268,0.000386026663267758
15000,loc,-2,-2,0.28125,15412,54710,0.281703527691464,0.000453527691464062
15000,loc,-2,-1,0.4375,23982,54710,0.438347651252056,0.00084765125205627
15000,loc,-2,0,0.203125,11109,54710,0.203052458417108,7.25415828916054e-05
15000,loc,-2,1,0.078125,4207,54710,0.0768963626393712,0.00122863736062877
15000,loc,-2,2,0,0,54710,0,0
15000,loc,-2,3,0,0,54710,0,0
15000,loc,-2,4,0,0,54710,0,0
15000,loc,-2,5,0,0,54710,0,0
15000,loc,-2,6,0,0,54710,0,0
15000,loc,-2,7,0,0,54710,0,0
15000,loc,-2,8,0,0,54710,0,0
15000,loc,-2,9,0,0,54710,0,0
15000,loc,-2,10,0,0,54710,0,0
15000,loc,-1,-2,0.255813953488372,33824,133298,0.2537472430194,0.00206671046897183
15000,loc,-1,-1,0.209302325581395,28017,133298,0.210183198547615,0.000880872966220109
15000,loc,-1,0,0.325581395348837,43390,133298,0.325511260484028,7.01348648087241e-05
15000,loc,-1,1,0.151162790697674,20326,133298,0.152485408633288,0.00132261793561383
15000,loc,-1,2,0.0581395348837209,7741,133298,0.0580728893156687,6.66455680522482e-05
15000,loc,-1,3,0,0,133298,0,0
15000,loc,-1,4,0,0,133298,0,0
15000,loc,-1,5,0,0,133298,0,0
15000,loc,-1,6,0,0,133298,0,0
15000,loc,-1,7,0,0,133298,0,0
15000,loc,-1,8,0,0,133298,0,0
15000,loc,-1,9,0,0,133298,0,0
15000,loc,-1,10,0,0,133298,0,0
15000,loc,0,-2,0.104166666666667,27887,269580,0.10344610134283,0.000720565323837422
15000,loc,0,-1,0.229166666666667,61548,269580,0.228310705541954,0.00085596112471284
15000,loc,0,0,0.1875,50407,269580,0.186983455745975,0.000516544254024781
15000,loc,0,1,0.291666666666667,78894,269580,0.292655241486757,0.000988574820090182
15000,loc,0,2,0.135416666666667,36642,269580,0.135922546182951,0.00050587951628428
15000,loc,0,3,0.0520833333333333,14202,269580,0.0526819496995326,0.000598616366199303
15000,loc,0,4,0,0,269580,0,0
15000,loc,0,5,0,0,269580,0,0
15000,loc,0,6,0,0,269580,0,0
15000,loc,0,7,0,0,269580,0,0
15000,loc,0,8,0,0,269580,0,0
15000,loc,0,9,0,0,269580,0,0
15000,loc,0,10,0,0,269580,0,0
15000,loc,1,-2,0.04,31122,779841,0.0399081351198514,9.18648801486455e-05
15000,loc,1,-1,0.1,77961,779841,0.0999703785771715,2.96214228285019e-05
15000,loc,1,0,0.22,171719,779841,0.220197450505936,0.000197450505936475
15000,loc,1,1,0.18,140580,779841,0.180267516070584,0.000267516070583618
15000,loc,1,2,0.28,218343,779841,0.279983996737797,1.60032622034678e-05
15000,loc,1,3,0.13,101043,779841,0.129568719777493,0.000431280222506908
15000,loc,1,4,0.05,39073,779841,0.0501038032111674,0.000103803211167403
15000,loc,1,5,0,0,779841,0,0
15000,loc,1,6,0,0,779841,0,0
15000,loc,1,7,0,0,779841,0,0
15000,loc,1,8,0,0,779841,0,0
15000,loc,1,9,0,0,779841,0,0
15000,loc,1,10,0,0,779841,0,0
15000,loc,2,-2,0,0,946792,0,0
15000,loc,2,-1,0.04,37553,946792,0.0396634107597022,0.000336589240297766
15000,loc,2,0,0.1,94688,946792,0.100009294544103,9.29454410260322e-06
15000,loc,2,1,0.22,207647,946792,0.219316386281253,0.000683613718747089
15000,loc,2,2,0.18,170778,946792,0.18037541508589,0.000375415085890035
15000,loc,2,3,0.28,265812,946792,0.280750154204936,0.000750154204936238
15000,loc,2,4,0.13,123006,946792,0.12991871498703,8.12850129701115e-05
15000,loc,2,5,0.05,47308,946792,0.0499666241370861,3.337586291393e-05
15000,loc,2,6,0,0,946792,0,0
15000,loc,2,7,0,0,946792,0,0
15000,loc,2,8,0,0,946792,0,0
15000,loc,2,9,0,0,946792,0,0
15000,loc,2,10,0,0,946792,0,0
15000,loc,3,-2,0,0,1046375,0,0
15000,loc,3,-1,0,0,1046375,0,0
15000,loc,3,0,0.04,41475,1046375,0.0396368414765261,0.000363158523473898
15000,loc,3,1,0.1,104827,1046375,0.100181101421574,0.000181101421574473
15000,loc,3,2,0.22,229906,1046375,0.219716640783658,0.000283359216342122
15000,loc,3,3,0.18,188358,1046375,0.180010034643412,1.00346434117882e-05
15000,loc,3,4,0.28,293095,1046375,0.280105124835742,0.000105124835742432
15000,loc,3,5,0.13,136489,1046375,0.13043985186955,0.000439851869549618
15000,loc,3,6,0.05,52225,1046375,0.0499104049695377,8.95950304623111e-05
15000,loc,3,7,0,0,1046375,0,0
15000,loc,3,8,0,0,1046375,0,0
15000,loc,3,9,0,0,1046375,0,0
15000,loc,3,10,0,0,1046375,0,0
15000,loc,4,-2,0,0,1088336,0,0
15000,loc,4,-1,0,0,1088336,0,0
15000,loc,4,0,0,0,1088336,0,0
15000,loc,4,1,0.04,43459,1088336,0.0399316020052631,6.83979947369226e-05
15000,loc,4,2,0.1,109401,1088336,0.100521346348922,0.000521346348921647
15000,loc,4,3,0.22,238832,1088336,0.219446935505212,0.000553064494788369
15000,loc,4,4,0.18,195841,1088336,0.179945347760251,5.46522397494864e-05
15000,loc,4,5,0.28,305172,1088336,0.280402375736905,0.00040237573690477
15000,loc,4,6,0.13,140941,1088336,0.129501367224828,0.00049863277517237
15000,loc,4,7,0.05,54690,1088336,0.0502510254186207,0.000251025418620716
15000,loc,4,8,0,0,1088336,0,0
15000,loc,4,9,0,0,1088336,0,0
15000,loc,4,10,0,0,1088336,0,0
15000,loc,5,-2,0,0,1069371,0,0
15000,loc,5,-1,0,0,1069371,0,0
15000,loc,5,0,0,0,1069371,0,0
15000,loc,5,1,0,0,1069371,0,0
15000,loc,5,2,0.04,43000,1069371,0.0402105536806216,0.000210553680621596
15000,loc,5,3,0.1,107103,1069371,0.100155137926875,0.000155137926874771
15000,loc,5,4,0.22,235119,1069371,0.219866631879862,0.000133368120137922
15000,loc,5,5,0.18,192868,1069371,0.180356489936608,0.000356489936607612
15000,loc,5,6,0.28,299191,1069371,0.279782227122299,0.000217772877701028
15000,loc,5,7,0.13,138548,1069371,0.129560274217274,0.000439725782726497
15000,loc,5,8,0.05,53542,1069371,0.0500686852364614,6.86852364614327e-05
15000,loc,5,9,0,0,1069371,0,0
15000,loc,5,10,0,0,1069371,0,0
15000,loc,6,-2,0,0,997071,0,0
15000,loc,6,-1,0,0,997071,0,0
15000,loc,6,0,0,0,997071,0,0
15000,loc,6,1,0,0,997071,0,0
15000,loc,6,2,0,0,997071,0,0
15000,loc,6,3,0.04,39972,997071,0.0400894219167943,8.94219167942925e-05
15000,loc,6,4,0.1,99644,997071,0.0999367146371723,6.32853628277225e-05
15000,loc,6,5,0.22,219024,997071,0.219667405831681,0.000332594168319017
15000,loc,6,6,0.18,179817,997071,0.180345231182132,0.000345231182132477
15000,loc,6,7,0.28,279145,997071,0.279965017536364,3.49824636360352e-05
15000,loc,6,8,0.13,129807,997071,0.130188321593949,0.000188321593948659
15000,loc,6,9,0.05,49662,997071,0.0498078873019073,0.000192112698092717
15000,loc,6,10,0,0,997071,0,0
15000,loc,7,-2,0,0,863724,0,0
15000,loc,7,-1,0,0,863724,0,0
15000,loc,7,0,0,0,863724,0,0
15000,loc,7,1,0,0,863724,0,0
15000,loc,7,2,0,0,863724,0,0
15000,loc,7,3,0,0,863724,0,0
15000,loc,7,4,0.04,34673,863724,0.040143610690452,0.000143610690452045
15000,loc,7,5,0.1,86527,863724,0.100178992363301,0.000178992363301239
15000,loc,7,6,0.22,190298,863724,0.220322695675934,0.000322695675933515
15000,loc,7,7,0.18,154912,863724,0.17935358980415,0.0006464101958496
15000,loc,7,8,0.28,241545,863724,0.279655306556261,0.000344693443738997
15000,loc,7,9,0.13,112323,863724,0.130045014379593,4.50143795934776e-05
15000,loc,7,10,0.05,43446,863724,0.0503007905303083,0.000300790530308293
15000,loc,8,-2,0,0,354152,0,0
15000,loc,8,-1,0,0,354152,0,0
15000,loc,8,0,0,0,354152,0,0
15000,loc,8,1,0,0,354152,0,0
15000,loc,8,2,0,0,354152,0,0
15000,loc,8,3,0,0,354152,0,0
15000,loc,8,4,0,0,354152,0,0
15000,loc,8,5,0.0421052631578947,14896,354152,0.0420610359393707,4.42272185240331e-05
15000,loc,8,6,0.105263157894737,37512,354152,0.105920621653979,0.000657463759242083
15000,loc,8,7,0.231578947368421,81991,354152,0.231513587386207,6.53599822139361e-05
15000,loc,8,8,0.189473684210526,66979,354152,0.189125008470939,0.000348675739586968
15000,loc,8,9,0.294736842105263,104079,354152,0.293882287831214,0.000854554274049291
15000,loc,8,10,0.136842105263158,48695,354152,0.13749745871829,0.000655353455132457
15000,loc,9,-2,0,0,187752,0,0
15000,loc,9,-1,0,0,187752,0,0
15000,loc,9,0,0,0,187752,0,0
15000,loc,9,1,0,0,187752,0,0
15000,loc,9,2,0,0,187752,0,0
15000,loc,9,3,0,0,187752,0,0
15000,loc,9,4,0,0,187752,0,0
15000,loc,9,5,0,0,187752,0,0
15000,loc,9,6,0.048780487804878,9218,187752,0.0490966807277685,0.000316192922890542
15000,loc,9,7,0.121951219512195,22863,187752,0.121772337977758,0.000178881534437098
15000,loc,9,8,0.268292682926829,50554,187752,0.269259448634369,0.00096676570753973
15000,loc,9,9,0.219512195121951,40883,187752,0.21775001065235,0.00176218446960108
15000,loc,9,10,0.341463414634146,64234,187752,0.342121522007755,0.00065810737360894
15000,loc,10,-2,0,0,83998,0,0
15000,loc,10,-1,0,0,83998,0,0
15000,loc,10,0,0,0,83998,0,0
15000,loc,10,1,0,0,83998,0,0
15000,loc,10,2,0,0,83998,0,0
15000,loc,10,3,0,0,83998,0,0
15000,loc,10,4,0,0,83998,0,0
15000,loc,10,5,0,0,83998,0,0
15000,loc,10,6,0,0,83998,0,0
15000,loc,10,7,0.0740740740740741,6267,83998,0.0746089192599824,0.000534845185908281
15000,loc,10,8,0.185185185185185,15557,83998,0.185206790637872,2.16054526873122e-05
15000,loc,10,9,0.407407407407407,34296,83998,0.40829543560561,0.000888028198202662
15000,loc,10,10,0.333333333333333,27878,83998,0.331888854496536,0.00144447883679732
20000,loc,-2,-2,0.28125,20509,72912,0.281284287908712,3.42879087118497e-05
20000,loc,-2,-1,0.4375,31950,72912,0.438199473337722,0.00069947333772219
20000,loc,-2,0,0.203125,14811,72912,0.203135286372614,1.02863726135494e-05
20000,loc,-2,1,0.078125,5642,72912,0.0773809523809524,0.000744047619047616
20000,loc,-2,2,0,0,72912,0,0
20000,loc,-2,3,0,0,72912,0,0
20000,loc,-2,4,0,0,72912,0,0
20000,loc,-2,5,0,0,72912,0,0
20000,loc,-2,6,0,0,72912,0,0
20000,loc,-2,7,0,0,72912,0,0
20000,loc,-2,8,0,0,72912,0,0
20000,loc,-2,9,0,0,72912,0,0
20000,loc,-2,10,0,0,72912,0,0
20000,loc,-1,-2,0.255813953488372,45351,177800,0.255067491563555,0.000746461924817421
20000,loc,-1,-1,0.209302325581395,37250,177800,0.209505061867267,0.000202736285871585
20000,loc,-1,0,0.325581395348837,57985,177800,0.326124859392576,0.000543464043738895
20000,loc,-1,1,0.151162790697674,27039,177800,0.152075365579303,0.000912574881628603
20000,loc,-1,2,0.0581395348837209,10175,177800,0.0572272215973003,0.000912313286420566
20000,loc,-1,3,0,0,177800,0,0
20000,loc,-1,4,0,0,177800,0,0
20000,loc,-1,5,0,0,177800,0,0
20000,loc,-1,6,0,0,177800,0,0
20000,loc,-1,7,0,0,177800,0,0
20000,loc,-1,8,0,0,177800,0,0
20000,loc,-1,9,0,0,177800,0,0
20000,loc,-1,10,0,0,177800,0,0
20000,loc,0,-2,0.104166666666667,37370,359416,0.103974224853651,0.000192441813015531
20000,loc,0,-1,0.229166666666667,82046,359416,0.228275869744252,0.000890796922415199
20000,loc,0,0,0.1875,67146,359416,0.186819729783872,0.000680270216128376
20000,loc,0,1,0.291666666666667,105258,359416,0.292858414761725,0.00119174809505757
20000,loc,0,2,0.135416666666667,48805,359416,0.135789725554789,0.000373058888121891
20000,loc,0,3,0.0520833333333333,18791,359416,0.0522820353017117,0.000198701968378366
20000,loc,0,4,0,0,359416,0,0
20000,loc,0,5,0,0,359416,0,0
20000,loc,0,6,0,0,359416,0,0
20000,loc,0,7,0,0,359416,0,0
20000,loc,0,8,0,0,359416,0,0
20000,loc,0,9,0,0,359416,0,0
20000,loc,0,10,0,0,359416,0,0
20000,loc,1,-2,0.04,41471,1039504,0.0398949883790731,0.000105011620926902
20000,loc,1,-1,0.1,104137,1039504,0.100179508688759,0.000179508688759253
20000,loc,1,0,0.22,228875,1039504,0.220177122935554,0.000177122935553886
20000,loc,1,1,0.18,187019,1039504,0.179911765611292,8.82343887084469e-05
20000,loc,1,2,0.28,291271,1039504,0.280201903984977,0.000201903984977436
20000,loc,1,3,0.13,134634,1039504,0.129517539134049,0.000482460865951467
20000,loc,1,4,0.05,52097,1039504,0.0501171712662962,0.000117171266296227
20000,loc,1,5,0,0,1039504,0,0
20000,loc,1,6,0,0,1039504,0,0
20000,loc,1,7,0,0,1039504,0,0
20000,loc,1,8,0,0,1039504,0,0
20000,loc,1,9,0,0,1039504,0,0
20000,loc,1,10,0,0,1039504,0,0
20000,loc,2,-2,0,0,1261592,0,0
20000,loc,2,-1,0.04,50183,1261592,0.0397775191979657,0.000222480802034256
20000,loc,2,0,0.1,126283,1261592,0.100098129981801,9.8129981800768e-05
20000,loc,2,1,0.22,276975,1261592,0.21954403642382,0.000455963576179941
20000,loc,2,2,0.18,227149,1261592,0.180049493021516,4.94930215156897e-05
20000,loc,2,3,0.28,353930,1261592,0.280542362348525,0.000542362348524672
20000,loc,2,4,0.13,163943,1261592,0.129949302151567,5.06978484327847e-05
20000,loc,2,5,0.05,63129,1261592,0.0500391568748058,3.91568748057958e-05
20000,loc,2,6,0,0,1261592,0,0
20000,loc,2,7,0,0,1261592,0,0
20000,loc,2,8,0,0,1261592,0,0
20000,loc,2,9,0,0,1261592,0,0
20000,loc,2,10,0,0,1261592,0,0
20000,loc,3,-2,0,0,1395632,0,0
20000,loc,3,-1,0,0,1395632,0,0
20000,loc,3,0,0.04,55411,1395632,0.0397031595721508,0.000296840427849179
20000,loc,3,1,0.1,139521,1395632,0.0999697628028019,3.02371971981213e-05
20000,loc,3,2,0.22,306469,1395632,0.219591554220597,0.00040844577940316
20000,loc,3,3,0.18,251335,1395632,0.180086871037637,8.68710376374371e-05
20000,loc,3,4,0.28,391148,1395632,0.28026585804854,0.000265858048540013
20000,loc,3,5,0.13,181936,1395632,0.13036101207195,0.00036101207195019
20000,loc,3,6,0.05,69812,1395632,0.0500217822463228,2.17822463228073e-05
20000,loc,3,7,0,0,1395632,0,0
20000,loc,3,8,0,0,1395632,0,0
20000,loc,3,9,0,0,1395632,0,0
20000,loc,3,10,0,0,1395632,0,0
20000,loc,4,-2,0,0,1451632,0,0
20000,loc,4,-1,0,0,1451632,0,0
20000,loc,4,0,0,0,1451632,0,0
20000,loc,4,1,0.04,57858,1451632,0.0398572089896062,0.000142791010393821
20000,loc,4,2,0.1,145695,1451632,0.100366346291622,0.000366346291622119
20000,loc,4,3,0.22,318563,1451632,0.219451624103078,0.000548375896921527
20000,loc,4,4,0.18,261074,1451632,0.179848611769374,0.000151388230625937
20000,loc,4,5,0.28,407065,1451632,0.280418866489579,0.000418866489578618
20000,loc,4,6,0.13,188395,1451632,0.129781514874293,0.000218485125706797
20000,loc,4,7,0.05,72982,1451632,0.0502758274824473,0.000275827482447338
20000,loc,4,8,0,0,1451632,0,0
20000,loc,4,9,0,0,1451632,0,0
20000,loc,4,10,0,0,1451632,0,0
20000,loc,5,-2,0,0,1425886,0,0
20000,loc,5,-1,0,0,1425886,0,0
20000,loc,5,0,0,0,1425886,0,0
20000,loc,5,1,0,0,1425886,0,0
20000,loc,5,2,0.04,57143,1425886,0.0400754338004581,7.54338004581023e-05
20000,loc,5,3,0.1,142869,1425886,0.100196649662035,0.000196649662034684
20000,loc,5,4,0.22,313836,1425886,0.220098941991155,9.89419911549827e-05
20000,loc,5,5,0.18,256864,1425886,0.180143433626531,0.000143433626531159
20000,loc,5,6,0.28,398568,1425886,0.279523047424549,0.000476952575451384
20000,loc,5,7,0.13,185150,1425886,0.129849090319984,0.000150909680016492
20000,loc,5,8,0.05,71456,1425886,0.0501134031752889,0.000113403175288906
20000,loc,5,9,0,0,1425886,0,0
20000,loc,5,10,0,0,1425886,0,0
20000,loc,6,-2,0,0,1329432,0,0
20000,loc,6,-1,0,0,1329432,0,0
20000,loc,6,0,0,0,1329432,0,0
20000,loc,6,1,0,0,1329432,0,0
20000,loc,6,2,0,0,1329432,0,0
20000,loc,6,3,0.04,53549,1329432,0.0402796081333983,0.000279608133398321
20000,loc,6,4,0.1,133183,1329432,0.1001803777854,0.000180377785400074
20000,loc,6,5,0.22,292352,1329432,0.219907449196349,9.25508036514755e-05
20000,loc,6,6,0.18,239483,1329432,0.180139337702116,0.00013933770211641
20000,loc,6,7,0.28,371735,1329432,0.279619416412423,0.000380583587577255
20000,loc,6,8,0.13,172608,1329432,0.12983589984294,0.00016410015705956
20000,loc,6,9,0.05,66522,1329432,0.0500379109273735,3.79109273734926e-05
20000,loc,6,10,0,0,1329432,0,0
20000,loc,7,-2,0,0,1151427,0,0
20000,loc,7,-1,0,0,1151427,0,0
20000,loc,7,0,0,0,1151427,0,0
20000,loc,7,1,0,0,1151427,0,0
20000,loc,7,2,0,0,1151427,0,0
20000,loc,7,3,0,0,1151427,0,0
20000,loc,7,4,0.04,46105,1151427,0.0400416179228036,4.1617922803619e-05
20000,loc,7,5,0.1,115321,1151427,0.100154851327961,0.000154851327960864
20000,loc,7,6,0.22,253586,1151427,0.22023628071949,0.000236280719489806
20000,loc,7,7,0.18,206561,1151427,0.179395654262059,0.000604345737940826
20000,loc,7,8,0.28,322273,1151427,0.279890084217237,0.000109915782763481
20000,loc,7,9,0.13,149777,1151427,0.130079457924819,7.94579248185046e-05
20000,loc,7,10,0.05,57804,1151427,0.0502020536256315,0.000202053625631499
20000,loc,8,-2,0,0,472340,0,0
20000,loc,8,-1,0,0,472340,0,0
20000,loc,8,0,0,0,472340,0,0
20000,loc,8,1,0,0,472340,0,0
20000,loc,8,2,0,0,472340,0,0
20000,loc,8,3,0,0,472340,0,0
20000,loc,8,4,0,0,472340,0,0
20000,loc,8,5,0.0421052631578947,19784,472340,0.0418850827793539,0.000220180378540845
20000,loc,8,6,0.105263157894737,49984,472340,0.105822077317187,0.000558919422449775
20000,loc,8,7,0.231578947368421,109369,472340,0.231547190583055,3.17567853664047e-05
20000,loc,8,8,0.189473684210526,89416,472340,0.189304314688572,0.000169369521954205
20000,loc,8,9,0.294736842105263,138836,472340,0.293932336875979,0.000804505229283825
20000,loc,8,10,0.136842105263158,64951,472340,0.137508997755854,0.000666892492695859
20000,loc,9,-2,0,0,250560,0,0
20000,loc,9,-1,0,0,250560,0,0
20000,loc,9,0,0,0,250560,0,0
20000,loc,9,1,0,0,250560,0,0
20000,loc,9,2,0,0,250560,0,0
20000,loc,9,3,0,0,250560,0,0
20000,loc,9,4,0,0,250560,0,0
20000,loc,9,5,0,0,250560,0,0
20000,loc,9,6,0.048780487804878,12341,250560,0.0492536717752235,0.0004731839703455
20000,loc,9,7,0.121951219512195,30432,250560,0.121455938697318,0.000495280814876986
20000,loc,9,8,0.268292682926829,67388,250560,0.268949553001277,0.000656870074448146
20000,loc,9,9,0.219512195121951,54881,250560,0.219033365261814,0.000478829860137447
20000,loc,9,10,0.341463414634146,85518,250560,0.341307471264368,0.000155943369778144
20000,loc,10,-2,0,0,111867,0,0
20000,loc,10,-1,0,0,111867,0,0
20000,loc,10,0,0,0,111867,0,0
20000,loc,10,1,0,0,111867,0,0
20000,loc,10,2,0,0,111867,0,0
20000,loc,10,3,0,0,111867,0,0
20000,loc,10,4,0,0,111867,0,0
20000,loc,10,5,0,0,111867,0,0
20000,loc,10,6,0,0,111867,0,0
20000,loc,10,7,0.0740740740740741,8358,111867,0.0747137225455228,0.000639648471448706
20000,loc,10,8,0.185185185185185,20812,111867,0.186042353866645,0.000857168681460213
20000,loc,10,9,0.407407407407407,45567,111867,0.407331920941833,7.54864655742593e-05
20000,loc,10,10,0.333333333333333,37130,111867,0.331912002645999,0.00142133068733369
30000,loc,-2,-2,0.28125,30732,109687,0.280179054947259,0.00107094505274097
30000,loc,-2,-1,0.4375,48178,109687,0.439231631825102,0.00173163182510233
