N,a0,loc0,lfw0,stage,stage_index,distribution_type,seed_pair_count,mean_pairwise_tv,max_pairwise_tv,mean_max_abs_error,std_max_abs_error,mean_tv_to_exact,std_tv_to_exact,seed_count
15000,2,6,0,W1,1,joint,10,0.02556,0.0310666666666667,0.00550208666666666,0.00229547857968175,0.0188126866666667,0.00281105731201703,5
15000,2,6,0,W2,2,intensity,10,0.00508666666666666,0.00886666666666665,0.00331046666666668,0.00138680897907558,0.00343706666666667,0.00153525268278551,5
15000,2,6,0,W2,2,loc,10,0.0144,0.0199333333333333,0.00571830551989732,0.00116868744542308,0.0100721780059906,0.00295546804968854,5
15000,2,6,0,W2,2,lfw,10,0.00438666666666665,0.00693333333333331,0.00278,0.00165220391531369,0.00310000000000001,0.00179752916836172,5
15000,2,6,0,W2,2,joint,10,0.0397066666666667,0.0436,0.00329307065895467,0.000702864768282687,0.028184489937863,0.00268282188412436,5
15000,2,6,0,W3,3,intensity,10,0.00435333333333332,0.00746666666666663,0.00316727186666668,0.00181982492113568,0.00360567597777782,0.00198143858578876,5
15000,2,6,0,W3,3,loc,10,0.0150933333333333,0.0208666666666667,0.00493853454338853,0.00104476578435837,0.0107560801139014,0.00217215144136724,5
15000,2,6,0,W3,3,lfw,10,0.00367333333333332,0.00606666666666666,0.00232500000000001,0.00167683233111324,0.00270440000000001,0.00175909191219663,5
15000,2,6,0,W3,3,joint,10,0.0463133333333333,0.052,0.0035632937537358,0.000642739442410207,0.0336694989831694,0.00124941111115855,5
15000,2,7,0,W1,1,intensity,10,0.00317333333333334,0.00606666666666666,0.00203999999999999,0.00143185970759087,0.00218666666666667,0.00142704044947732,5
15000,2,7,0,W1,1,loc,10,0.00948000000000001,0.0134666666666667,0.00365333333333333,0.00115219597098564,0.00646666666666666,0.00206182227922563,5
15000,2,7,0,W1,1,lfw,10,0.00360000000000001,0.00760000000000002,0.00218666666666668,0.0015307224147804,0.00218666666666668,0.0015307224147804,5
15000,2,7,0,W1,1,joint,10,0.0226533333333333,0.0268666666666667,0.00383993333333333,0.00101178209226207,0.0155096533333333,0.00148343785429508,5
15000,2,7,0,W2,2,intensity,10,0.00452000000000001,0.00740000000000001,0.00278760000000001,0.00130708928964754,0.00314513333333333,0.00127085580526586,5
15000,2,7,0,W2,2,loc,10,0.0146933333333333,0.0199333333333333,0.00590412970094617,0.00211720802280141,0.0097316293443636,0.00160200634999286,5
15000,2,7,0,W2,2,lfw,10,0.00354000000000001,0.00646666666666665,0.00272666666666667,0.00112333827892085,0.00294666666666668,0.0010621257510818,5
15000,2,7,0,W2,2,joint,10,0.0354666666666667,0.0412,0.00292572202214944,0.000641409129520106,0.0258692092285239,0.00221367529319446,5
15000,2,7,0,W3,3,intensity,10,0.00613333333333333,0.0108666666666667,0.00412429802222225,0.00157679484146561,0.00442950862222224,0.00138964208533371,5
15000,2,7,0,W3,3,loc,10,0.0141466666666667,0.0196,0.00450905188900843,0.00154034476602441,0.00931276427256227,0.00283465459978727,5
15000,2,7,0,W3,3,lfw,10,0.00744666666666666,0.0118666666666667,0.00573086666666666,0.00189501805327078,0.00608306666666667,0.00198055667539315,5
15000,2,7,0,W3,3,joint,10,0.0407666666666667,0.0456,0.0031533908650824,0.000176972799327951,0.0291472215337021,0.0011919461212997,5
15000,3,1,0,W1,1,intensity,10,0.0116333333333333,0.0224666666666667,0.00734666666666661,0.00401176048913955,0.0077066666666666,0.00405862593058824,5
15000,3,1,0,W1,1,loc,10,0.00940666666666666,0.0153333333333333,0.00358666666666667,0.00203109166049523,0.00609333333333333,0.00368045890858433,5
15000,3,1,0,W1,1,lfw,10,0.00362000000000001,0.00599999999999999,0.00309333333333334,0.00154603435350648,0.00309333333333334,0.00154603435350648,5
15000,3,1,0,W1,1,joint,10,0.0321,0.0406,0.00367366666666666,0.000652197301009763,0.0225983666666666,0.00337380894497934,5
15000,3,1,0,W2,2,intensity,10,0.01064,0.0182666666666667,0.00538655555555564,0.00430093392456274,0.006399,0.0040574854882861,5
15000,3,1,0,W2,2,loc,10,0.01356,0.0186666666666667,0.00554658914728683,0.00110980483501767,0.0114311627906977,0.00149998731416024,5
15000,3,1,0,W2,2,lfw,10,0.00483333333333334,0.00746666666666667,0.00485333333333337,0.00237013829882468,0.0049866666666667,0.00216019546440697,5
15000,3,1,0,W2,2,joint,10,0.0464466666666667,0.051,0.00286372348336849,0.000791608597906347,0.0339049963073811,0.00265785845654425,5
15000,3,1,0,W3,3,intensity,10,0.00986666666666667,0.0151333333333333,0.00472446737037041,0.00177177682158964,0.0064192445925927,0.0021237165831679,5
15000,3,1,0,W3,3,loc,10,0.0120933333333333,0.0163333333333333,0.00352314095907701,0.00099734647470526,0.00845489414773753,0.00271699323772064,5
15000,3,1,0,W3,3,lfw,10,0.00345333333333334,0.0048,0.00397379999999999,0.00177961877315835,0.0046068,0.0018710698157887,5
15000,3,1,0,W3,3,joint,10,0.0546333333333333,0.0608,0.00279020800195283,0.000691402733682364,0.0395737994314324,0.00426697167356516,5
15000,3,2,0,W1,1,intensity,10,0.00560000000000002,0.00806666666666669,0.00398666666666689,0.00234397572987076,0.00454666666666697,0.00239044393831413,5
15000,3,2,0,W1,1,loc,10,0.0143666666666667,0.0238,0.00668,0.00395063989191062,0.00995999999999999,0.00476295893093546,5
15000,3,2,0,W1,1,lfw,10,0.00512666666666668,0.0094666666666667,0.00381333333333334,0.00264129597819792,0.00381333333333334,0.00264129597819791,5
15000,3,2,0,W1,1,joint,10,0.0321066666666667,0.0387333333333333,0.00436500000000002,0.00123796147400113,0.0225660333333334,0.00357487863119548,5
15000,3,2,0,W2,2,intensity,10,0.00662666666666666,0.00900000000000001,0.0035094444444446,0.00105224671448672,0.00489044444444462,0.000875605645775234,5
15000,3,2,0,W2,2,loc,10,0.0131,0.0151333333333333,0.00518027131782944,0.00122660618031674,0.00989511627906976,0.00154645761839592,5
15000,3,2,0,W2,2,lfw,10,0.00704666666666668,0.0141333333333334,0.00517333333333335,0.00215437539285367,0.00548666666666669,0.0023974060055726,5
15000,3,2,0,W2,2,joint,10,0.04874,0.0530666666666667,0.00310094146602866,0.000803264470931793,0.0342365028308077,0.00214544832263159,5
15000,3,2,0,W3,3,intensity,10,0.00813333333333333,0.0108666666666667,0.00422807462962982,0.000814294458492192,0.00567924640740732,0.000706011673348168,5
15000,3,2,0,W3,3,loc,10,0.0135733333333333,0.0207333333333333,0.00344666705313683,0.00116243319807426,0.00930747679269495,0.00301440366760237,5
15000,3,2,0,W3,3,lfw,10,0.00494666666666667,0.00786666666666671,0.00440126666666666,0.00165792437838534,0.00523806666666668,0.00199818573822466,5
15000,3,2,0,W3,3,joint,10,0.05032,0.0564,0.00253350297457279,0.000438540831904925,0.0369759202943294,0.00280744819276043,5
15000,3,3,0,W1,1,intensity,10,0.00492666666666664,0.00819999999999996,0.00322666666666651,0.000886441074058663,0.00351999999999998,0.00102132811138811,5
15000,3,3,0,W1,1,loc,10,0.0121,0.0170666666666667,0.00530666666666667,0.00100509811571917,0.00935999999999999,0.000959861101062718,5
15000,3,3,0,W1,1,lfw,10,0.00442666666666667,0.00793333333333334,0.00298666666666667,0.00163802048555906,0.00298666666666667,0.00163802048555905,5
15000,3,3,0,W1,1,joint,10,0.0299933333333333,0.0337333333333333,0.00407633333333332,0.00162433219183903,0.0223471,0.00247540926919173,5
15000,3,3,0,W2,2,intensity,10,0.00598666666666667,0.00846666666666668,0.00337655555555541,0.00127104011068194,0.00432755555555539,0.00104366442504204,5
15000,3,3,0,W2,2,loc,10,0.0143133333333333,0.02,0.00504333333333334,0.00172898493020873,0.01029,0.00276605414906428,5
15000,3,3,0,W2,2,lfw,10,0.00634666666666667,0.00986666666666669,0.00387999999999999,0.00168219433412961,0.00417333333333333,0.00179325898234969,5
15000,3,3,0,W2,2,joint,10,0.0473866666666666,0.0542,0.00305785961277312,0.000892617030745522,0.0341833362030881,0.00340196285012578,5
15000,3,3,0,W3,3,intensity,10,0.00635333333333333,0.0118,0.00431855248148136,0.00259577738546085,0.00498666944444426,0.00210875247913576,5
15000,3,3,0,W3,3,loc,10,0.0173466666666667,0.0232666666666666,0.00504303491954504,0.00173280873020571,0.0115999979379994,0.00334502674018914,5
15000,3,3,0,W3,3,lfw,10,0.00743333333333333,0.012,0.00429406666666665,0.00137789409365645,0.00480706666666665,0.00135457517735675,5
15000,3,3,0,W3,3,joint,10,0.0590533333333333,0.0624666666666667,0.00251206007362262,0.000402595804695745,0.0415601004438157,0.00182773273034631,5
15000,3,4,0,W1,1,intensity,10,0.00638,0.00960000000000001,0.00451999999999986,0.0022412298211272,0.00531999999999986,0.00213874314077706,5
15000,3,4,0,W1,1,loc,10,0.0114333333333333,0.0152666666666667,0.00510666666666665,0.00191636229467301,0.00818666666666666,0.00186094360771925,5
15000,3,4,0,W1,1,lfw,10,0.00598666666666666,0.0109333333333333,0.00438666666666666,0.00261040652432188,0.00438666666666666,0.00261040652432189,5
15000,3,4,0,W1,1,joint,10,0.0308933333333333,0.0347333333333333,0.00340949999999999,0.00114351577747455,0.0220728999999999,0.00161407084812839,5
15000,3,4,0,W2,2,intensity,10,0.00868000000000001,0.0118,0.00490388888888871,0.00154973688527409,0.00578677777777769,0.00162534988635845,5
15000,3,4,0,W2,2,loc,10,0.00986,0.0134666666666667,0.00369333333333334,0.000747737327616539,0.00831333333333334,0.0022129166274399,5
15000,3,4,0,W2,2,lfw,10,0.00574000000000002,0.00826666666666673,0.00345333333333334,0.00125202058911009,0.00417333333333333,0.000958123165360306,5
15000,3,4,0,W2,2,joint,10,0.0515333333333333,0.0559333333333333,0.00280159393971108,0.000314450732127219,0.0366549042624877,0.00339794301678629,5
15000,3,4,0,W3,3,intensity,10,0.00657999999999999,0.0102,0.00333078799999999,0.00191980233397028,0.00418034603703708,0.00213986410741216,5
15000,3,4,0,W3,3,loc,10,0.01372,0.0188,0.00417074375217681,0.00135488570509092,0.00963869908659593,0.00349074955937026,5
15000,3,4,0,W3,3,lfw,10,0.00642,0.0108,0.00378406666666665,0.00220428691417428,0.00404206666666664,0.00194527654989092,5
15000,3,4,0,W3,3,joint,10,0.05602,0.0612666666666666,0.00254431572155654,0.000674701401188424,0.039518431092917,0.00234973129429663,5
