role,relative_path,size_bytes,sha256
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\15_mechanism_deep_dive\01_surplus_timing\surplus_timing_group_summary.csv,1241,abce7880e4c760c41cde814201c0e6ec55d592f438733b5a2030d65e9b22a108
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\15_mechanism_deep_dive\02_shortfall_timing\adequate_vs_shortfall_last24h_profile.csv,8389,2d4263e1c0a08886ac4e961bcb5e4e429d31a428478e8718c5b098cca1951bd5
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\15_mechanism_deep_dive\02_shortfall_timing\shortfall_build_timing.csv,424193,2da8007ee1bc24a7d7a5007174214be066f6d9ccb2d651dd5021df76a17e9bb7
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\15_mechanism_deep_dive\02_shortfall_timing\shortfall_by_arrival_stage.csv,1230,19d141a4b407265c5c2d533e57212f39a8d800327b226bc8b3126411f1403bc8
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\15_mechanism_deep_dive\03_physical_recoverability\physical_recoverability_by_path.csv,24559,021a6aaa98d3c5cf894380633fae649c3c1bbc8b0da4780977ecdbd8e514025f
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\15_mechanism_deep_dive\03_physical_recoverability\physical_recoverability_diagnostic.csv,373172,82330daf2794459c7d7d21d70c22b15e204f03e341324897b7314f1fc67b3012
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\15_mechanism_deep_dive\03_physical_recoverability\physical_recoverability_summary.csv,340,8625f9a5b0051247e5836843302a7d5e35486d254b7028fb7ec2703fcdeed14e
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\15_mechanism_deep_dive\04_site_mismatch\shortage_site_combinations.csv,552,e35947dee346fd09c7d6aeea56245abeeb458960ba18e54fdf224d2f36b7ee9e
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\15_mechanism_deep_dive\04_site_mismatch\site_mismatch_od_path_detail.csv,36931,971153b3982a2570bc97fbdc2b6e986182dcb1d4c424a14d4b3485529da73e81
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\15_mechanism_deep_dive\04_site_mismatch\site_mismatch_od_summary.csv,3332,04b063199f02a1fbc8f4ebe8e656148163defaa1d0d290842c60ea760af21894
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\15_mechanism_deep_dive\05_htt_mechanism\htt_mechanism_classification.csv,53238,577b63e08390c9afb83501a5a11e758b426d0f22cf5631d6fa6ce8dd4431fb86
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\15_mechanism_deep_dive\05_htt_mechanism\htt_mechanism_classification_summary.csv,330,e21ef791755d4cfd25fd341018d16708587670ea5c226c514dd068aa67497f1e
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\15_mechanism_deep_dive\06_electrolyzer\electrolyzer_utilization_by_site_group.csv,2942,b13acbc4d63fe89a54bbc566878a21b9c18facf575cf3a8a555524f85942d5c6
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\15_mechanism_deep_dive\06_electrolyzer\simultaneous_electrolyzer_saturation.csv,1147,ae76cf9485c984b25fdd508a3e7825bc4df02e41dd15c51ae55ce954c10a4cdb
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\15_mechanism_deep_dive\07_grid\grid_constraint_mechanism.csv,1495,a0558c0666f7bc28014fe60a7d8e732417f5912c02927419f40437f9e3235096
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\15_mechanism_deep_dive\08_ordinary_vs_reserve\ordinary_shortage_terminal_adequate_hourly.csv,72922,7c4200b869ac1c72d7dc9f4dda5528345178fd3dccee64f2b664024475685cb6
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\15_mechanism_deep_dive\08_ordinary_vs_reserve\ordinary_shortage_terminal_adequate_summary.csv,1937,16c286b7b4d2f8154642f256bddce343ea8e4f3bb7b795be61d39427c11bf334
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\15_mechanism_deep_dive\08_ordinary_vs_reserve\ordinary_shortage_terminal_quadrants.csv,406,00d4704582c75de5f5c5bf9e910ca4b2c93bff57102ad59962f3f8294a8798b1
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\15_mechanism_deep_dive\09_economics\cost_components_by_mechanism_path_type.csv,3247,d77df2a134fbb4146e8d610de3638532e1a408293f8316b5d9d8c2d4e45a466c
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\15_mechanism_deep_dive\09_economics\economics_by_mechanism_path_type.csv,2995,19b8ca956afceb1a0cd64c89ac25fcf07e7f0b65ecaa55930f359eb73aa34ef0
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\15_mechanism_deep_dive\09_economics\surplus_cost_bins.csv,774,ed02a48157df2a9627aaaaec64fc39abf0bfa1cba1c696108514721a7ea742d3
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\15_mechanism_deep_dive\09_economics\surplus_cost_correlations.csv,432,85ebb5c84b2f60b66aa97f54c4aff0066af76151af7956c99a017e897520586d
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\15_mechanism_deep_dive\10_dissipation\dissipation_mechanism_paths.csv,988021,519edc962105a60fadcebe45fe0687b5faeff810097e8bb3adf6e586e2bdefe6
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\15_mechanism_deep_dive\10_dissipation\dissipation_mechanism_summary.csv,634,759759d39a8e591727e94ad65dbe5220315154edd80d10073291431d7f99f258
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\15_mechanism_deep_dive\11_tail\tail_mechanism_profile.csv,1029,b2f556fa1b34b10ad77e76c7f296768b0198525a57b70a2119c96ecf3fdcd9d8
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\15_mechanism_deep_dive\12_case_studies\case_study_hourly_timeline.csv,593799,9e65893e318fab9a3367056288c2e2688dd799cc76fc57e2e427948b2f8553ef
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\15_mechanism_deep_dive\12_case_studies\case_study_htt_od.csv,12069,ae9cfcab17330805911eb4ea798a0d288aab4416364554de9fe7ecc97997382c
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\15_mechanism_deep_dive\12_case_studies\case_study_selection.csv,3321,dd24eca7e913290c40650720039f3fd01e57cf888e6900e014ecad604b97e07a
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\15_mechanism_deep_dive\13_summary\mechanism_deep_dive_qa.csv,1144,822d46c6686179b1857a1c6019a6c1c802a75a45eb58ec005681f18f98040ef7
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\15_mechanism_deep_dive\13_summary\mechanism_deep_dive_summary.csv,1182,23de8b9bac18d1ca1e131a5958d56bff509f8811921ea39bcfb2a5ed0328e1f1
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\15_mechanism_deep_dive\13_summary\README.md,7347,ea80719de619bc28a50377b56fc91f10341117579855b01c28a6f464a136933f
figure,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\09_penalty1000_mechanism_deep_dive\01_正目标超额不足完整分布.png,55939,5060151046448555df745dded92a575d006877c6b9133bd9fc00c6da8038c791
figure,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\09_penalty1000_mechanism_deep_dive\02_正目标超额分箱.png,61677,a0257b3c6c70decaaa03825a0d04a5e458ec40583724f31210b87ddad8279c73
figure,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\09_penalty1000_mechanism_deep_dive\03_达标与不足最后24h库存.png,99915,f888a1d99e101b9998cb1ebb4ddb5060eda126f301015270e0c1e9c5b53fe35e
figure,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\09_penalty1000_mechanism_deep_dive\04_高超额与不足最后24h制氢.png,108117,cb886f3369c6a51485a71cbe3f83e47b4a5a8cb1471fc422ea108f812a5016e1
figure,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\09_penalty1000_mechanism_deep_dive\05_到达阶段与不足率.png,69031,ca1d5104aa2cef29357311c6aed1a72c114b76b4c7cd2949173fb2e40abf8125
figure,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\09_penalty1000_mechanism_deep_dive\06_四站缺口频率.png,48622,569f8b44035bb8f983012a6894bfa7cead814265f54e1784202cbc376ff66c17
figure,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\09_penalty1000_mechanism_deep_dive\07_站点错配组合.png,64145,5dfc59b31074d6ecb23ef85bc6e43b238379ce0d1cc7fcae8dde1b99f37ba12a
figure,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\09_penalty1000_mechanism_deep_dive\08_HTT机制分类.png,49170,27e8156b9e3f7c7dd97d9b4da1c90bd38b2e6596d6f2c38ca463170c39913def
figure,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\09_penalty1000_mechanism_deep_dive\09_四站电解槽负荷.png,54409,3d072f7f9c91790d78ca1e6977e8fbbecaa4ec6800820add3f59ff8e539b9574
figure,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\09_penalty1000_mechanism_deep_dive\10_普通缺氢最终储备四象限.png,58721,eb9bbf05783613ee0bf90b1d4fdd1197cc53a8c58d15e3c8361f14c41dbcfb9f
figure,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\09_penalty1000_mechanism_deep_dive\11_超额库存与成本.png,141069,e61410b53616ab872a7e9bfd1592301c62721df3508485a34810eea95c8c6ed6
figure,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\09_penalty1000_mechanism_deep_dive\12_路径类型实际成本.png,103234,1f64acaebf6954ab95f00b449ecfb24eb257b16f91b659e8ab56c399f850c19c
figure,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\09_penalty1000_mechanism_deep_dive\13_消散路径预防库存.png,47787,cc2df2ef32d4e78bf42e507068eddbc3b01ba8a8517b98879433912a83139e6f
figure,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\09_penalty1000_mechanism_deep_dive\14_尾部机制对比.png,91742,beee2c22b6476835aedb4b6ebb624e532a1c899452b422a1638fe481999c1a1a
figure,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\09_penalty1000_mechanism_deep_dive\15_path3909时间线.png,223027,4759072393a1af7abaf86541ceb0722da6e91db21d348852105db8eae6c89b59
figure,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\09_penalty1000_mechanism_deep_dive\16_超额200kg典型路径.png,216140,6c7f0a6db52beb8ce8edec2ad4c5a4ac54fbca0fa56708a6932e49e1d3ffaea5
figure,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\09_penalty1000_mechanism_deep_dive\17_纯位置不足典型路径.png,225815,b63c412949704c0e0ad256358a1ba0e7027ad4c85a45fae8a520b4ee15252621
figure,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\09_penalty1000_mechanism_deep_dive\18_最终机制总结.png,117870,a1d9447c8c1e2bcd9c10e6ae9809ea76db097d3674548d9208d13b32d51d7bfd
figure,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\09_penalty1000_mechanism_deep_dive\contact_sheet.png,463118,b535ffd511c894ac1d91eed2df42d27e5dcefbca0047c129b78a7f143fd06097
figure,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\09_penalty1000_mechanism_deep_dive\figure_manifest.csv,3988,f7c73cf391087c6eef0ce429f1dbc729af871fdd38a4fa5d3ad06ec2ab34dcc1
independent_audit,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\15_mechanism_deep_dive\13_summary\independent_mechanism_audit.csv,5704,14b1b689ad5ac416401539c76752731783ad5763c85ff9cc96ac8f0b335d55a1
manual_visual_audit,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\15_mechanism_deep_dive\13_summary\visual_audit.csv,2081,aaf2440477536ea826760c8bb3a60ffe320ccd7b7abed88655650e530ba6585b
