island_buses,eligible_real_roots,selected_topological_root,actual_injecting_sources,root_uniqueness,one_topological_root,case,interval_start_h,interval_end_h
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 24, 31]",1,"[""UTILITY-BUS-1"", ""FC-1"", ""FC-4""]",True,True,CASE-4,0.0,1.2166666666667
[23],[],VIRTUAL_ROOT,[],True,True,CASE-4,0.0,1.2166666666667
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 24, 31]",1,"[""UTILITY-BUS-1"", ""FC-1"", ""FC-4""]",True,True,CASE-4,1.2166666666667,1.5
[23],[23],23,"[""MFCV-1""]",True,True,CASE-4,1.2166666666667,1.5
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 24, 31]",1,"[""UTILITY-BUS-1"", ""FC-1"", ""FC-4""]",True,True,CASE-4,1.5,3.5
[23],[23],23,"[""MFCV-1""]",True,True,CASE-4,1.5,3.5
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 24, 31]",1,"[""UTILITY-BUS-1""]",True,True,CASE-5,0.0,1.0
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 24, 31]",1,"[""UTILITY-BUS-1""]",True,True,CASE-5,1.0,1.2166666666667
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 23, 24, 31]",1,"[""UTILITY-BUS-1""]",True,True,CASE-5,1.2166666666667,1.5
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 23, 24, 31]",1,"[""UTILITY-BUS-1""]",True,True,CASE-5,1.5,3.5
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 24, 31]",1,"[""UTILITY-BUS-1"", ""FC-1"", ""FC-4""]",True,True,CASE-6,0.0,1.0
[23],[23],23,"[""MFCV-1""]",True,True,CASE-6,0.0,1.0
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 24, 31]",1,"[""UTILITY-BUS-1"", ""FC-1"", ""FC-4""]",True,True,CASE-6,1.0,2.0
[23],[23],23,"[""MFCV-1""]",True,True,CASE-6,1.0,2.0
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 24, 31]",1,"[""UTILITY-BUS-1"", ""FC-1"", ""FC-4""]",True,True,CASE-6,2.0,2.5
[23],[],VIRTUAL_ROOT,[],True,True,CASE-6,2.0,2.5
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 24, 31]",1,"[""UTILITY-BUS-1"", ""FC-1"", ""FC-4""]",True,True,CASE-6,2.5,3.5
[23],[],VIRTUAL_ROOT,[],True,True,CASE-6,2.5,3.5
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 24, 31]",1,"[""UTILITY-BUS-1"", ""FC-1"", ""FC-4"", ""MFCV-1""]",True,True,CASE-7,0.0,1.0
[23],[23],23,"[""MFCV-2""]",True,True,CASE-7,0.0,1.0
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 24, 31]",1,"[""UTILITY-BUS-1"", ""FC-1"", ""FC-4""]",True,True,CASE-7,1.0,2.0
[23],[23],23,"[""MFCV-2""]",True,True,CASE-7,1.0,2.0
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 24, 31]",1,"[""UTILITY-BUS-1"", ""FC-1"", ""FC-4""]",True,True,CASE-7,2.0,3.5
[23],[],VIRTUAL_ROOT,[],True,True,CASE-7,2.0,3.5
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 24, 31]",1,"[""UTILITY-BUS-1"", ""FC-1"", ""FC-4""]",True,True,CASE-8,0.0,3.5
[23],[],VIRTUAL_ROOT,[],True,True,CASE-8,0.0,3.5
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 24, 31]",1,"[""UTILITY-BUS-1""]",True,True,CASE-9,0.0,3.5
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 24, 31]",1,"[""UTILITY-BUS-1""]",True,True,CASE-10,0.0,1.2166666666667
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 23, 24, 31]",1,"[""UTILITY-BUS-1""]",True,True,CASE-10,1.2166666666667,3.5
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 24, 31]",1,"[""UTILITY-BUS-1""]",True,True,CASE-11,0.0,3.5
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 24, 31]",1,"[""UTILITY-BUS-1""]",True,True,CASE-12,0.0,1.0
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 24, 31]",1,"[""UTILITY-BUS-1""]",True,True,CASE-12,1.0,2.0
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 24, 31]",1,"[""UTILITY-BUS-1""]",True,True,CASE-12,2.0,3.5
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 24, 31]",1,"[""UTILITY-BUS-1"", ""FC-1"", ""FC-4""]",True,True,CASE-13_EVENT,0.0,1.0
[23],[],VIRTUAL_ROOT,[],True,True,CASE-13_EVENT,0.0,1.0
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 24, 31]",1,"[""UTILITY-BUS-1"", ""FC-1"", ""FC-4""]",True,True,CASE-13_EVENT,1.0,1.2166666666667
[23],[],VIRTUAL_ROOT,[],True,True,CASE-13_EVENT,1.0,1.2166666666667
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 24, 31]",1,"[""UTILITY-BUS-1"", ""FC-1"", ""FC-4""]",True,True,CASE-13_EVENT,1.2166666666667,1.5
[23],[23],23,"[""MFCV-1""]",True,True,CASE-13_EVENT,1.2166666666667,1.5
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 24, 31]",1,"[""UTILITY-BUS-1"", ""FC-1"", ""FC-4""]",True,True,CASE-13_EVENT,1.5,3.5
[23],[23],23,"[""MFCV-1""]",True,True,CASE-13_EVENT,1.5,3.5
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 24, 31]",1,"[""UTILITY-BUS-1"", ""FC-1"", ""FC-4""]",True,True,CASE-13_DELAY,0.0,1.0
[23],[],VIRTUAL_ROOT,[],True,True,CASE-13_DELAY,0.0,1.0
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 24, 31]",1,"[""UTILITY-BUS-1"", ""FC-1"", ""FC-4""]",True,True,CASE-13_DELAY,1.0,1.5
[23],[],VIRTUAL_ROOT,[],True,True,CASE-13_DELAY,1.0,1.5
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 24, 31]",1,"[""UTILITY-BUS-1"", ""FC-1"", ""FC-4""]",True,True,CASE-13_DELAY,1.5,3.5
[23],[23],23,"[""MFCV-1""]",True,True,CASE-13_DELAY,1.5,3.5
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 24, 31]",1,"[""UTILITY-BUS-1"", ""FC-1"", ""FC-2"", ""FC-3"", ""FC-4""]",True,True,FROZEN_REALIZATION_STATE1_PATH117_W2,0.0,1.0
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 24, 31]",1,"[""UTILITY-BUS-1"", ""FC-1"", ""FC-2"", ""FC-3"", ""FC-4""]",True,True,FROZEN_REALIZATION_STATE1_PATH117_W2,1.0,1.2166666666667
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 24, 31]",1,"[""UTILITY-BUS-1"", ""FC-1"", ""FC-2"", ""FC-3"", ""FC-4"", ""MFCV-1""]",True,True,FROZEN_REALIZATION_STATE1_PATH117_W2,1.2166666666667,1.5
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 24, 31]",1,"[""UTILITY-BUS-1"", ""FC-1"", ""FC-2"", ""FC-3"", ""FC-4"", ""MFCV-1""]",True,True,FROZEN_REALIZATION_STATE1_PATH117_W2,1.5,2.0
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 24, 31]",1,"[""UTILITY-BUS-1"", ""FC-1"", ""FC-2"", ""FC-3"", ""FC-4"", ""MFCV-1""]",True,True,FROZEN_REALIZATION_STATE1_PATH117_W2,2.0,2.5
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 24, 31]",1,"[""UTILITY-BUS-1"", ""FC-1"", ""FC-2"", ""FC-3"", ""FC-4""]",True,True,FROZEN_REALIZATION_STATE1_PATH117_W2,2.5,3.0
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 24, 31]",1,"[""UTILITY-BUS-1"", ""FC-1"", ""FC-2"", ""FC-3"", ""FC-4""]",True,True,FROZEN_REALIZATION_STATE1_PATH117_W2,3.0,3.5
