case,interval_start_h,interval_end_h,duration_h,resource_type,resource_id,bus,station_site,available_Pmax_kW,actual_P_kW,actual_Q_kvar,H2_before_kg,H2_use_kg,H2_after_kg,Q_cap_kvar
CASE-3,1.0,2.0,1.0,FIXED_FC,FC-2,14,2,150.0,0.0,-0.0,55.5009093832021,0.0,55.5009093832021,0.0
CASE-3,1.0,2.0,1.0,FIXED_FC,FC-3,18,3,120.0,0.0,-0.0,33.3376415005701,0.0,33.3376415005701,0.0
CASE-3,1.0,2.0,1.0,FIXED_FC,FC-4,31,4,150.0,0.0,-0.0,37.9373084666148,0.0,37.9373084666148,0.0
CASE-3,2.0,3.5,1.5,FIXED_FC,FC-1,24,1,300.0,300.0,145.29663145135575,36.4248101797417,24.54790933638818,11.876900843353518,145.29663145135575
CASE-3,2.0,3.5,1.5,FIXED_FC,FC-2,14,2,150.0,0.0,-0.0,55.5009093832021,0.0,55.5009093832021,0.0
CASE-3,2.0,3.5,1.5,FIXED_FC,FC-3,18,3,120.0,0.0,-0.0,33.3376415005701,0.0,33.3376415005701,0.0
CASE-3,2.0,3.5,1.5,FIXED_FC,FC-4,31,4,150.0,0.0,-0.0,37.9373084666148,0.0,37.9373084666148,0.0
CASE-4,0.0,1.2166666666667,1.2166666666667,FIXED_FC,FC-1,24,1,300.0,232.789825960563,112.74525849405724,69.1553559615926,15.450324391640585,53.70503156995202,112.74525849405724
CASE-4,0.0,1.2166666666667,1.2166666666667,FIXED_FC,FC-2,14,2,150.0,0.0,-0.0,55.5009093832021,0.0,55.5009093832021,0.0
CASE-4,0.0,1.2166666666667,1.2166666666667,FIXED_FC,FC-3,18,3,120.0,0.0,-0.0,33.3376415005701,0.0,33.3376415005701,0.0
CASE-4,0.0,1.2166666666667,1.2166666666667,FIXED_FC,FC-4,31,4,150.0,100.82627685399711,48.83239462889185,37.9373084666148,6.691867559794153,31.245440906820647,48.83239462889193
CASE-4,1.2166666666667,1.5,0.2833333333332999,FIXED_FC,FC-1,24,1,300.0,232.789825960563,112.74525849405724,53.70503156995202,3.5980207487376954,50.107010821214324,112.74525849405724
CASE-4,1.2166666666667,1.5,0.2833333333332999,FIXED_FC,FC-2,14,2,150.0,0.0,-0.0,55.5009093832021,0.0,55.5009093832021,0.0
CASE-4,1.2166666666667,1.5,0.2833333333332999,FIXED_FC,FC-3,18,3,120.0,0.0,-0.0,33.3376415005701,0.0,33.3376415005701,0.0
CASE-4,1.2166666666667,1.5,0.2833333333332999,FIXED_FC,FC-4,31,4,150.0,100.82627685399711,48.83239462889185,31.245440906820647,1.558380116664165,29.687060790156483,48.83239462889193
CASE-4,1.5,3.5,2.0,FIXED_FC,FC-1,24,1,300.0,232.789825960563,112.74525849405724,50.107010821214324,25.397793520504376,24.70921730070995,112.74525849405724
CASE-4,1.5,3.5,2.0,FIXED_FC,FC-2,14,2,150.0,0.0,-0.0,55.5009093832021,0.0,55.5009093832021,0.0
CASE-4,1.5,3.5,2.0,FIXED_FC,FC-3,18,3,120.0,0.0,-0.0,33.3376415005701,0.0,33.3376415005701,0.0
CASE-4,1.5,3.5,2.0,FIXED_FC,FC-4,31,4,150.0,100.82627685399711,48.83239462889185,29.687060790156483,11.000330235277758,18.686730554878725,48.83239462889193
CASE-5,0.0,1.0,1.0,FIXED_FC,FC-1,24,1,300.0,0.0,-0.0,69.1553559615926,0.0,69.1553559615926,0.0
CASE-5,0.0,1.0,1.0,FIXED_FC,FC-2,14,2,150.0,0.0,-0.0,55.5009093832021,0.0,55.5009093832021,0.0
CASE-5,0.0,1.0,1.0,FIXED_FC,FC-3,18,3,120.0,0.0,-0.0,33.3376415005701,0.0,33.3376415005701,0.0
CASE-5,0.0,1.0,1.0,FIXED_FC,FC-4,31,4,150.0,0.0,-0.0,37.9373084666148,0.0,37.9373084666148,0.0
CASE-5,1.0,1.2166666666667,0.2166666666667001,FIXED_FC,FC-1,24,1,300.0,0.0,-0.0,69.1553559615926,0.0,69.1553559615926,0.0
CASE-5,1.0,1.2166666666667,0.2166666666667001,FIXED_FC,FC-2,14,2,150.0,0.0,-0.0,55.5009093832021,0.0,55.5009093832021,0.0
CASE-5,1.0,1.2166666666667,0.2166666666667001,FIXED_FC,FC-3,18,3,120.0,0.0,-0.0,33.3376415005701,0.0,33.3376415005701,0.0
CASE-5,1.0,1.2166666666667,0.2166666666667001,FIXED_FC,FC-4,31,4,150.0,0.0,-0.0,37.9373084666148,0.0,37.9373084666148,0.0
CASE-5,1.2166666666667,1.5,0.2833333333332999,FIXED_FC,FC-1,24,1,300.0,0.0,-0.0,69.1553559615926,0.0,69.1553559615926,0.0
CASE-5,1.2166666666667,1.5,0.2833333333332999,FIXED_FC,FC-2,14,2,150.0,0.0,-0.0,55.5009093832021,0.0,55.5009093832021,0.0
CASE-5,1.2166666666667,1.5,0.2833333333332999,FIXED_FC,FC-3,18,3,120.0,0.0,-0.0,33.3376415005701,0.0,33.3376415005701,0.0
CASE-5,1.2166666666667,1.5,0.2833333333332999,FIXED_FC,FC-4,31,4,150.0,0.0,-0.0,37.9373084666148,0.0,37.9373084666148,0.0
CASE-5,1.5,3.5,2.0,FIXED_FC,FC-1,24,1,300.0,0.0,-0.0,69.1553559615926,0.0,69.1553559615926,0.0
CASE-5,1.5,3.5,2.0,FIXED_FC,FC-2,14,2,150.0,0.0,-0.0,55.5009093832021,0.0,55.5009093832021,0.0
CASE-5,1.5,3.5,2.0,FIXED_FC,FC-3,18,3,120.0,0.0,-0.0,33.3376415005701,0.0,33.3376415005701,0.0
CASE-5,1.5,3.5,2.0,FIXED_FC,FC-4,31,4,150.0,0.0,-0.0,37.9373084666148,0.0,37.9373084666148,0.0
CASE-6,0.0,1.0,1.0,FIXED_FC,FC-1,24,1,300.0,232.789825960563,112.74525849405724,69.1553559615926,12.698896760252188,56.456459201340415,112.74525849405724
CASE-6,0.0,1.0,1.0,FIXED_FC,FC-2,14,2,150.0,0.0,-0.0,55.5009093832021,0.0,55.5009093832021,0.0
CASE-6,0.0,1.0,1.0,FIXED_FC,FC-3,18,3,120.0,0.0,-0.0,33.3376415005701,0.0,33.3376415005701,0.0
CASE-6,0.0,1.0,1.0,FIXED_FC,FC-4,31,4,150.0,100.82627685399711,48.83239462889185,37.9373084666148,5.500165117638879,32.43714334897592,48.83239462889193
CASE-6,1.0,2.0,1.0,FIXED_FC,FC-1,24,1,300.0,232.789825960563,112.74525849405724,56.456459201340415,12.698896760252188,43.757562441088226,112.74525849405724
CASE-6,1.0,2.0,1.0,FIXED_FC,FC-2,14,2,150.0,0.0,-0.0,55.5009093832021,0.0,55.5009093832021,0.0
CASE-6,1.0,2.0,1.0,FIXED_FC,FC-3,18,3,120.0,0.0,-0.0,33.3376415005701,0.0,33.3376415005701,0.0
CASE-6,1.0,2.0,1.0,FIXED_FC,FC-4,31,4,150.0,100.82627685399711,48.83239462889185,32.43714334897592,5.500165117638879,26.936978231337044,48.83239462889193
CASE-6,2.0,2.5,0.5,FIXED_FC,FC-1,24,1,300.0,232.789825960563,112.74525849405724,43.757562441088226,6.349448380126094,37.408114060962134,112.74525849405724
CASE-6,2.0,2.5,0.5,FIXED_FC,FC-2,14,2,150.0,0.0,-0.0,55.5009093832021,0.0,55.5009093832021,0.0
CASE-6,2.0,2.5,0.5,FIXED_FC,FC-3,18,3,120.0,0.0,-0.0,33.3376415005701,0.0,33.3376415005701,0.0
CASE-6,2.0,2.5,0.5,FIXED_FC,FC-4,31,4,150.0,100.82627685399711,48.83239462889185,26.936978231337044,2.7500825588194395,24.186895672517604,48.83239462889193
CASE-6,2.5,3.5,1.0,FIXED_FC,FC-1,24,1,300.0,232.789825960563,112.74525849405724,37.408114060962134,12.698896760252188,24.709217300709945,112.74525849405724
CASE-6,2.5,3.5,1.0,FIXED_FC,FC-2,14,2,150.0,0.0,-0.0,55.5009093832021,0.0,55.5009093832021,0.0
CASE-6,2.5,3.5,1.0,FIXED_FC,FC-3,18,3,120.0,0.0,-0.0,33.3376415005701,0.0,33.3376415005701,0.0
CASE-6,2.5,3.5,1.0,FIXED_FC,FC-4,31,4,150.0,100.82627685399711,48.83239462889185,24.186895672517604,5.500165117638879,18.686730554878725,48.83239462889193
CASE-7,0.0,1.0,1.0,FIXED_FC,FC-1,24,1,300.0,49.47482596056298,23.961751845706292,69.1553559615926,2.6988967602521874,66.45645920134042,23.961751845706292
CASE-7,0.0,1.0,1.0,FIXED_FC,FC-2,14,2,150.0,0.0,-0.0,55.5009093832021,0.0,55.5009093832021,0.0
CASE-7,0.0,1.0,1.0,FIXED_FC,FC-3,18,3,120.0,0.0,-0.0,33.3376415005701,0.0,33.3376415005701,0.0
CASE-7,0.0,1.0,1.0,FIXED_FC,FC-4,31,4,150.0,100.82627685399711,48.83239462889185,37.9373084666148,5.500165117638879,32.43714334897592,48.83239462889193
CASE-7,1.0,2.0,1.0,FIXED_FC,FC-1,24,1,300.0,232.789825960563,112.74525849405724,66.45645920134042,12.698896760252188,53.75756244108823,112.74525849405724
CASE-7,1.0,2.0,1.0,FIXED_FC,FC-2,14,2,150.0,0.0,-0.0,55.5009093832021,0.0,55.5009093832021,0.0
CASE-7,1.0,2.0,1.0,FIXED_FC,FC-3,18,3,120.0,0.0,-0.0,33.3376415005701,0.0,33.3376415005701,0.0
CASE-7,1.0,2.0,1.0,FIXED_FC,FC-4,31,4,150.0,100.82627685399711,48.83239462889185,32.43714334897592,5.500165117638879,26.936978231337044,48.83239462889193
CASE-7,2.0,3.5,1.5,FIXED_FC,FC-1,24,1,300.0,232.789825960563,112.74525849405724,53.75756244108823,19.04834514037828,34.70921730070995,112.74525849405724
CASE-7,2.0,3.5,1.5,FIXED_FC,FC-2,14,2,150.0,0.0,-0.0,55.5009093832021,0.0,55.5009093832021,0.0
CASE-7,2.0,3.5,1.5,FIXED_FC,FC-3,18,3,120.0,0.0,-0.0,33.3376415005701,0.0,33.3376415005701,0.0
CASE-7,2.0,3.5,1.5,FIXED_FC,FC-4,31,4,150.0,100.82627685399711,48.83239462889185,26.936978231337044,8.250247676458319,18.686730554878725,48.83239462889193
CASE-8,0.0,3.5,3.5,FIXED_FC,FC-1,24,1,300.0,232.789825960563,112.74525849405724,69.1553559615926,44.44613866088265,24.709217300709952,112.74525849405724
CASE-8,0.0,3.5,3.5,FIXED_FC,FC-2,14,2,150.0,0.0,-0.0,55.5009093832021,0.0,55.5009093832021,0.0
CASE-8,0.0,3.5,3.5,FIXED_FC,FC-3,18,3,120.0,0.0,-0.0,33.3376415005701,0.0,33.3376415005701,0.0
CASE-8,0.0,3.5,3.5,FIXED_FC,FC-4,31,4,150.0,100.82627685399711,48.83239462889185,37.9373084666148,19.250577911736077,18.686730554878725,48.83239462889193
CASE-9,0.0,3.5,3.5,FIXED_FC,FC-1,24,1,300.0,0.0,-0.0,69.1553559615926,0.0,69.1553559615926,0.0
CASE-9,0.0,3.5,3.5,FIXED_FC,FC-2,14,2,150.0,0.0,-0.0,55.5009093832021,0.0,55.5009093832021,0.0
CASE-9,0.0,3.5,3.5,FIXED_FC,FC-3,18,3,120.0,0.0,-0.0,33.3376415005701,0.0,33.3376415005701,0.0
CASE-9,0.0,3.5,3.5,FIXED_FC,FC-4,31,4,150.0,0.0,-0.0,37.9373084666148,0.0,37.9373084666148,0.0
CASE-10,0.0,1.2166666666667,1.2166666666667,FIXED_FC,FC-1,24,1,300.0,0.0,-0.0,69.1553559615926,0.0,69.1553559615926,0.0
CASE-10,0.0,1.2166666666667,1.2166666666667,FIXED_FC,FC-2,14,2,150.0,0.0,-0.0,55.5009093832021,0.0,55.5009093832021,0.0
CASE-10,0.0,1.2166666666667,1.2166666666667,FIXED_FC,FC-3,18,3,120.0,0.0,-0.0,33.3376415005701,0.0,33.3376415005701,0.0
CASE-10,0.0,1.2166666666667,1.2166666666667,FIXED_FC,FC-4,31,4,150.0,0.0,-0.0,37.9373084666148,0.0,37.9373084666148,0.0
CASE-10,1.2166666666667,3.5,2.2833333333333,FIXED_FC,FC-1,24,1,300.0,0.0,-0.0,69.1553559615926,0.0,69.1553559615926,0.0
CASE-10,1.2166666666667,3.5,2.2833333333333,FIXED_FC,FC-2,14,2,150.0,0.0,-0.0,55.5009093832021,0.0,55.5009093832021,0.0
CASE-10,1.2166666666667,3.5,2.2833333333333,FIXED_FC,FC-3,18,3,120.0,0.0,-0.0,33.3376415005701,0.0,33.3376415005701,0.0
CASE-10,1.2166666666667,3.5,2.2833333333333,FIXED_FC,FC-4,31,4,150.0,0.0,-0.0,37.9373084666148,0.0,37.9373084666148,0.0
CASE-11,0.0,3.5,3.5,FIXED_FC,FC-1,24,1,300.0,0.0,-0.0,69.1553559615926,0.0,69.1553559615926,0.0
CASE-11,0.0,3.5,3.5,FIXED_FC,FC-2,14,2,150.0,0.0,-0.0,55.5009093832021,0.0,55.5009093832021,0.0
CASE-11,0.0,3.5,3.5,FIXED_FC,FC-3,18,3,120.0,0.0,-0.0,33.3376415005701,0.0,33.3376415005701,0.0
CASE-11,0.0,3.5,3.5,FIXED_FC,FC-4,31,4,150.0,0.0,-0.0,37.9373084666148,0.0,37.9373084666148,0.0
CASE-12,0.0,1.0,1.0,FIXED_FC,FC-1,24,1,300.0,0.0,-0.0,69.1553559615926,0.0,69.1553559615926,0.0
CASE-12,0.0,1.0,1.0,FIXED_FC,FC-2,14,2,150.0,0.0,-0.0,55.5009093832021,0.0,55.5009093832021,0.0
CASE-12,0.0,1.0,1.0,FIXED_FC,FC-3,18,3,120.0,0.0,-0.0,33.3376415005701,0.0,33.3376415005701,0.0
CASE-12,0.0,1.0,1.0,FIXED_FC,FC-4,31,4,150.0,0.0,-0.0,37.9373084666148,0.0,37.9373084666148,0.0
CASE-12,1.0,2.0,1.0,FIXED_FC,FC-1,24,1,300.0,0.0,-0.0,69.1553559615926,0.0,69.1553559615926,0.0
CASE-12,1.0,2.0,1.0,FIXED_FC,FC-2,14,2,150.0,0.0,-0.0,55.5009093832021,0.0,55.5009093832021,0.0
CASE-12,1.0,2.0,1.0,FIXED_FC,FC-3,18,3,120.0,0.0,-0.0,33.3376415005701,0.0,33.3376415005701,0.0
CASE-12,1.0,2.0,1.0,FIXED_FC,FC-4,31,4,150.0,0.0,-0.0,37.9373084666148,0.0,37.9373084666148,0.0
CASE-12,2.0,3.5,1.5,FIXED_FC,FC-1,24,1,300.0,0.0,-0.0,69.1553559615926,0.0,69.1553559615926,0.0
CASE-12,2.0,3.5,1.5,FIXED_FC,FC-2,14,2,150.0,0.0,-0.0,55.5009093832021,0.0,55.5009093832021,0.0
CASE-12,2.0,3.5,1.5,FIXED_FC,FC-3,18,3,120.0,0.0,-0.0,33.3376415005701,0.0,33.3376415005701,0.0
CASE-12,2.0,3.5,1.5,FIXED_FC,FC-4,31,4,150.0,0.0,-0.0,37.9373084666148,0.0,37.9373084666148,0.0
CASE-13_EVENT,0.0,1.0,1.0,FIXED_FC,FC-1,24,1,300.0,232.789825960563,112.74525849405724,69.1553559615926,12.698896760252188,56.456459201340415,112.74525849405724
CASE-13_EVENT,0.0,1.0,1.0,FIXED_FC,FC-2,14,2,150.0,0.0,-0.0,55.5009093832021,0.0,55.5009093832021,0.0
CASE-13_EVENT,0.0,1.0,1.0,FIXED_FC,FC-3,18,3,120.0,0.0,-0.0,33.3376415005701,0.0,33.3376415005701,0.0
CASE-13_EVENT,0.0,1.0,1.0,FIXED_FC,FC-4,31,4,150.0,100.82627685399711,48.83239462889185,37.9373084666148,5.500165117638879,32.43714334897592,48.83239462889193
CASE-13_EVENT,1.0,1.2166666666667,0.2166666666667001,FIXED_FC,FC-1,24,1,300.0,232.789825960563,112.74525849405724,56.456459201340415,2.7514276313883985,53.70503156995202,112.74525849405724
CASE-13_EVENT,1.0,1.2166666666667,0.2166666666667001,FIXED_FC,FC-2,14,2,150.0,0.0,-0.0,55.5009093832021,0.0,55.5009093832021,0.0
CASE-13_EVENT,1.0,1.2166666666667,0.2166666666667001,FIXED_FC,FC-3,18,3,120.0,0.0,-0.0,33.3376415005701,0.0,33.3376415005701,0.0
CASE-13_EVENT,1.0,1.2166666666667,0.2166666666667001,FIXED_FC,FC-4,31,4,150.0,100.82627685399711,48.83239462889185,32.43714334897592,1.1917024421552742,31.245440906820647,48.83239462889193
CASE-13_EVENT,1.2166666666667,1.5,0.2833333333332999,FIXED_FC,FC-1,24,1,300.0,232.789825960563,112.74525849405724,53.70503156995202,3.5980207487376954,50.107010821214324,112.74525849405724
CASE-13_EVENT,1.2166666666667,1.5,0.2833333333332999,FIXED_FC,FC-2,14,2,150.0,0.0,-0.0,55.5009093832021,0.0,55.5009093832021,0.0
CASE-13_EVENT,1.2166666666667,1.5,0.2833333333332999,FIXED_FC,FC-3,18,3,120.0,0.0,-0.0,33.3376415005701,0.0,33.3376415005701,0.0
CASE-13_EVENT,1.2166666666667,1.5,0.2833333333332999,FIXED_FC,FC-4,31,4,150.0,100.82627685399711,48.83239462889185,31.245440906820647,1.558380116664165,29.687060790156483,48.83239462889193
CASE-13_EVENT,1.5,3.5,2.0,FIXED_FC,FC-1,24,1,300.0,232.789825960563,112.74525849405724,50.107010821214324,25.397793520504376,24.70921730070995,112.74525849405724
CASE-13_EVENT,1.5,3.5,2.0,FIXED_FC,FC-2,14,2,150.0,0.0,-0.0,55.5009093832021,0.0,55.5009093832021,0.0
CASE-13_EVENT,1.5,3.5,2.0,FIXED_FC,FC-3,18,3,120.0,0.0,-0.0,33.3376415005701,0.0,33.3376415005701,0.0
CASE-13_EVENT,1.5,3.5,2.0,FIXED_FC,FC-4,31,4,150.0,100.82627685399711,48.83239462889185,29.687060790156483,11.000330235277758,18.686730554878725,48.83239462889193
CASE-13_DELAY,0.0,1.0,1.0,FIXED_FC,FC-1,24,1,300.0,232.789825960563,112.74525849405724,69.1553559615926,12.698896760252188,56.456459201340415,112.74525849405724
CASE-13_DELAY,0.0,1.0,1.0,FIXED_FC,FC-2,14,2,150.0,0.0,-0.0,55.5009093832021,0.0,55.5009093832021,0.0
CASE-13_DELAY,0.0,1.0,1.0,FIXED_FC,FC-3,18,3,120.0,0.0,-0.0,33.3376415005701,0.0,33.3376415005701,0.0
CASE-13_DELAY,0.0,1.0,1.0,FIXED_FC,FC-4,31,4,150.0,100.82627685399711,48.83239462889185,37.9373084666148,5.500165117638879,32.43714334897592,48.83239462889193
CASE-13_DELAY,1.0,1.5,0.5,FIXED_FC,FC-1,24,1,300.0,232.789825960563,112.74525849405724,56.456459201340415,6.349448380126094,50.107010821214324,112.74525849405724
CASE-13_DELAY,1.0,1.5,0.5,FIXED_FC,FC-2,14,2,150.0,0.0,-0.0,55.5009093832021,0.0,55.5009093832021,0.0
CASE-13_DELAY,1.0,1.5,0.5,FIXED_FC,FC-3,18,3,120.0,0.0,-0.0,33.3376415005701,0.0,33.3376415005701,0.0
CASE-13_DELAY,1.0,1.5,0.5,FIXED_FC,FC-4,31,4,150.0,100.82627685399711,48.83239462889185,32.43714334897592,2.7500825588194395,29.687060790156483,48.83239462889193
CASE-13_DELAY,1.5,3.5,2.0,FIXED_FC,FC-1,24,1,300.0,232.789825960563,112.74525849405724,50.107010821214324,25.397793520504376,24.70921730070995,112.74525849405724
CASE-13_DELAY,1.5,3.5,2.0,FIXED_FC,FC-2,14,2,150.0,0.0,-0.0,55.5009093832021,0.0,55.5009093832021,0.0
CASE-13_DELAY,1.5,3.5,2.0,FIXED_FC,FC-3,18,3,120.0,0.0,-0.0,33.3376415005701,0.0,33.3376415005701,0.0
CASE-13_DELAY,1.5,3.5,2.0,FIXED_FC,FC-4,31,4,150.0,100.82627685399711,48.83239462889185,29.687060790156483,11.000330235277758,18.686730554878725,48.83239462889193
FROZEN_REALIZATION_STATE1_PATH117_W2,0.0,1.0,1.0,FIXED_FC,FC-1,24,1,300.0,299.99999999995543,145.29663145133418,69.1553559615926,16.365272890923023,52.79008307066958,145.29663145133418
FROZEN_REALIZATION_STATE1_PATH117_W2,0.0,1.0,1.0,FIXED_FC,FC-2,14,2,150.0,150.0,72.64831572567788,55.5009093832021,8.182636445462727,47.31827293773937,72.64831572567788
FROZEN_REALIZATION_STATE1_PATH117_W2,0.0,1.0,1.0,FIXED_FC,FC-3,18,3,120.0,120.0,58.1186525805423,33.3376415005701,6.546109156370182,26.79153234419992,58.1186525805423
FROZEN_REALIZATION_STATE1_PATH117_W2,0.0,1.0,1.0,FIXED_FC,FC-4,31,4,150.0,150.0,72.64831572567788,37.9373084666148,8.182636445462727,29.754672021152075,72.64831572567788
FROZEN_REALIZATION_STATE1_PATH117_W2,1.0,1.2166666666667,0.2166666666667001,FIXED_FC,FC-1,24,1,300.0,299.99999999995543,145.29663145133418,52.79008307066958,3.545809126367202,49.24427394430238,145.29663145133418
FROZEN_REALIZATION_STATE1_PATH117_W2,1.0,1.2166666666667,0.2166666666667001,FIXED_FC,FC-2,14,2,150.0,150.0,72.64831572567788,47.31827293773937,1.7729045631838645,45.54536837455551,72.64831572567788
FROZEN_REALIZATION_STATE1_PATH117_W2,1.0,1.2166666666667,0.2166666666667001,FIXED_FC,FC-3,18,3,120.0,120.0,58.1186525805423,26.79153234419992,1.4183236505470915,25.373208693652828,58.1186525805423
FROZEN_REALIZATION_STATE1_PATH117_W2,1.0,1.2166666666667,0.2166666666667001,FIXED_FC,FC-4,31,4,150.0,150.0,72.64831572567788,29.754672021152075,1.7729045631838645,27.98176745796821,72.64831572567788
FROZEN_REALIZATION_STATE1_PATH117_W2,1.2166666666667,1.5,0.2833333333332999,FIXED_FC,FC-1,24,1,300.0,300.0,145.29663145135575,49.24427394430238,4.636827319094998,44.60744662520738,145.29663145135575
FROZEN_REALIZATION_STATE1_PATH117_W2,1.2166666666667,1.5,0.2833333333332999,FIXED_FC,FC-2,14,2,150.0,150.0,72.64831572567788,45.54536837455551,2.318413659547499,43.226954715008006,72.64831572567788
FROZEN_REALIZATION_STATE1_PATH117_W2,1.2166666666667,1.5,0.2833333333332999,FIXED_FC,FC-3,18,3,120.0,120.0,58.1186525805423,25.373208693652828,1.8547309276379995,23.51847776601483,58.1186525805423
FROZEN_REALIZATION_STATE1_PATH117_W2,1.2166666666667,1.5,0.2833333333332999,FIXED_FC,FC-4,31,4,150.0,150.0,72.64831572567788,27.98176745796821,2.318413659547499,25.66335379842071,72.64831572567788
FROZEN_REALIZATION_STATE1_PATH117_W2,1.5,2.0,0.5,FIXED_FC,FC-1,24,1,300.0,300.0,145.29663145135575,44.60744662520738,8.182636445462727,36.424810179744654,145.29663145135575
FROZEN_REALIZATION_STATE1_PATH117_W2,1.5,2.0,0.5,FIXED_FC,FC-2,14,2,150.0,150.0,72.64831572567788,43.226954715008006,4.091318222731363,39.135636492276646,72.64831572567788
FROZEN_REALIZATION_STATE1_PATH117_W2,1.5,2.0,0.5,FIXED_FC,FC-3,18,3,120.0,120.0,58.1186525805423,23.51847776601483,3.273054578185091,20.245423187829736,58.1186525805423
FROZEN_REALIZATION_STATE1_PATH117_W2,1.5,2.0,0.5,FIXED_FC,FC-4,31,4,150.0,150.0,72.64831572567788,25.66335379842071,4.091318222731363,21.57203557568935,72.64831572567788
FROZEN_REALIZATION_STATE1_PATH117_W2,2.0,2.5,0.5,FIXED_FC,FC-1,24,1,300.0,300.0,145.29663145135575,36.424810179744654,8.182636445462727,28.242173734281927,145.29663145135575
FROZEN_REALIZATION_STATE1_PATH117_W2,2.0,2.5,0.5,FIXED_FC,FC-2,14,2,150.0,150.0,72.64831572567788,39.135636492276646,4.091318222731363,35.044318269545286,72.64831572567788
FROZEN_REALIZATION_STATE1_PATH117_W2,2.0,2.5,0.5,FIXED_FC,FC-3,18,3,120.0,120.0,58.1186525805423,20.245423187829736,3.273054578185091,16.972368609644647,58.1186525805423
FROZEN_REALIZATION_STATE1_PATH117_W2,2.0,2.5,0.5,FIXED_FC,FC-4,31,4,150.0,150.0,72.64831572567788,21.57203557568935,4.091318222731363,17.480717352957985,72.64831572567788
FROZEN_REALIZATION_STATE1_PATH117_W2,2.5,3.0,0.5,FIXED_FC,FC-1,24,1,300.0,299.99999999995543,145.29663145133418,28.242173734281927,8.182636445461512,20.059537288820415,145.29663145133418
