case,interval_start_h,interval_end_h,duration_h,resource_type,resource_id,vehicle_id,bus,eligible,moving,available_Pmax_kW,actual_P_kW,actual_Q_kvar,H2_before_kg,H2_use_kg,H2_after_kg,Q_cap_kvar
CASE-3,2.0,3.5,1.5,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
CASE-3,2.0,3.5,1.5,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-3,2.0,3.5,1.5,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-4,0.0,1.2166666666667,1.2166666666667,MFCV,MFCV-1,1,23,False,False,220.0,0.0,0.0,10.0,0.0,10.0,0.0
CASE-4,0.0,1.2166666666667,1.2166666666667,MFCV,MFCV-2,2,24,False,False,220.0,0.0,0.0,5.0,0.0,5.0,0.0
CASE-4,0.0,1.2166666666667,1.2166666666667,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
CASE-4,0.0,1.2166666666667,1.2166666666667,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
CASE-4,0.0,1.2166666666667,1.2166666666667,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-4,0.0,1.2166666666667,1.2166666666667,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-4,1.2166666666667,1.5,0.2833333333332999,MFCV,MFCV-1,1,23,True,False,220.0,90.0,43.58898943540673,10.0,1.3910481957284995,8.6089518042715,43.58898943540673
CASE-4,1.2166666666667,1.5,0.2833333333332999,MFCV,MFCV-2,2,24,False,False,220.0,0.0,0.0,5.0,0.0,5.0,0.0
CASE-4,1.2166666666667,1.5,0.2833333333332999,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
CASE-4,1.2166666666667,1.5,0.2833333333332999,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
CASE-4,1.2166666666667,1.5,0.2833333333332999,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-4,1.2166666666667,1.5,0.2833333333332999,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-4,1.5,3.5,2.0,MFCV,MFCV-1,1,23,True,False,220.0,78.9075000000015,38.21664648749358,8.6089518042715,8.6089518042715,0.0,38.21664648749358
CASE-4,1.5,3.5,2.0,MFCV,MFCV-2,2,24,False,False,220.0,0.0,0.0,5.0,0.0,5.0,0.0
CASE-4,1.5,3.5,2.0,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
CASE-4,1.5,3.5,2.0,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
CASE-4,1.5,3.5,2.0,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-4,1.5,3.5,2.0,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-5,0.0,1.0,1.0,MFCV,MFCV-1,1,23,False,False,220.0,0.0,0.0,10.0,0.0,10.0,0.0
CASE-5,0.0,1.0,1.0,MFCV,MFCV-2,2,24,False,False,220.0,0.0,0.0,5.0,0.0,5.0,0.0
CASE-5,0.0,1.0,1.0,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
CASE-5,0.0,1.0,1.0,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
CASE-5,0.0,1.0,1.0,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-5,0.0,1.0,1.0,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-5,1.0,1.2166666666667,0.2166666666667001,MFCV,MFCV-1,1,23,False,False,220.0,0.0,0.0,10.0,0.0,10.0,0.0
CASE-5,1.0,1.2166666666667,0.2166666666667001,MFCV,MFCV-2,2,24,False,False,220.0,0.0,0.0,5.0,0.0,5.0,0.0
CASE-5,1.0,1.2166666666667,0.2166666666667001,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
CASE-5,1.0,1.2166666666667,0.2166666666667001,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
CASE-5,1.0,1.2166666666667,0.2166666666667001,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-5,1.0,1.2166666666667,0.2166666666667001,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-5,1.2166666666667,1.5,0.2833333333332999,MFCV,MFCV-1,1,23,True,False,220.0,0.0,-0.0,10.0,0.0,10.0,0.0
CASE-5,1.2166666666667,1.5,0.2833333333332999,MFCV,MFCV-2,2,24,False,False,220.0,0.0,0.0,5.0,0.0,5.0,0.0
CASE-5,1.2166666666667,1.5,0.2833333333332999,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
CASE-5,1.2166666666667,1.5,0.2833333333332999,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
CASE-5,1.2166666666667,1.5,0.2833333333332999,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-5,1.2166666666667,1.5,0.2833333333332999,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-5,1.5,3.5,2.0,MFCV,MFCV-1,1,23,True,False,220.0,0.0,-0.0,10.0,0.0,10.0,0.0
CASE-5,1.5,3.5,2.0,MFCV,MFCV-2,2,24,False,False,220.0,0.0,0.0,5.0,0.0,5.0,0.0
CASE-5,1.5,3.5,2.0,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
CASE-5,1.5,3.5,2.0,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
CASE-5,1.5,3.5,2.0,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-5,1.5,3.5,2.0,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-6,0.0,1.0,1.0,MFCV,MFCV-1,1,23,True,False,220.0,90.0,43.58898943540673,10.0,4.909581867277637,5.090418132722363,43.58898943540673
CASE-6,0.0,1.0,1.0,MFCV,MFCV-2,2,24,False,False,220.0,0.0,0.0,5.0,0.0,5.0,0.0
CASE-6,0.0,1.0,1.0,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
CASE-6,0.0,1.0,1.0,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
CASE-6,0.0,1.0,1.0,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-6,0.0,1.0,1.0,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-6,1.0,2.0,1.0,MFCV,MFCV-1,1,23,True,False,220.0,90.0,43.58898943540673,5.090418132722363,4.909581867277637,0.18083626544472686,43.58898943540673
CASE-6,1.0,2.0,1.0,MFCV,MFCV-2,2,24,False,False,220.0,0.0,0.0,5.0,0.0,5.0,0.0
CASE-6,1.0,2.0,1.0,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
CASE-6,1.0,2.0,1.0,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
CASE-6,1.0,2.0,1.0,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-6,1.0,2.0,1.0,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-6,2.0,2.5,0.5,MFCV,MFCV-1,1,23,False,False,220.0,0.0,0.0,0.18083626544472686,0.0,0.18083626544472686,0.0
CASE-6,2.0,2.5,0.5,MFCV,MFCV-2,2,24,False,False,220.0,0.0,0.0,5.0,0.0,5.0,0.0
CASE-6,2.0,2.5,0.5,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
CASE-6,2.0,2.5,0.5,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
CASE-6,2.0,2.5,0.5,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-6,2.0,2.5,0.5,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-6,2.5,3.5,1.0,MFCV,MFCV-1,1,23,False,False,220.0,0.0,0.0,0.18083626544472686,0.0,0.18083626544472686,0.0
CASE-6,2.5,3.5,1.0,MFCV,MFCV-2,2,24,False,False,220.0,0.0,0.0,5.0,0.0,5.0,0.0
CASE-6,2.5,3.5,1.0,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
CASE-6,2.5,3.5,1.0,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
CASE-6,2.5,3.5,1.0,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-6,2.5,3.5,1.0,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-7,0.0,1.0,1.0,MFCV,MFCV-1,1,24,True,False,220.0,183.31500000000003,88.78350664835095,10.0,10.0,0.0,88.78350664835095
CASE-7,0.0,1.0,1.0,MFCV,MFCV-2,2,23,True,False,220.0,90.0,43.58898943540673,5.0,4.909581867277637,0.09041813272236343,43.58898943540673
CASE-7,0.0,1.0,1.0,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
CASE-7,0.0,1.0,1.0,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
CASE-7,0.0,1.0,1.0,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-7,0.0,1.0,1.0,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-7,1.0,2.0,1.0,MFCV,MFCV-1,1,24,False,False,220.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-7,1.0,2.0,1.0,MFCV,MFCV-2,2,23,True,False,220.0,1.6575000000000055,0.8027638887687433,0.09041813272236343,0.09041813272236343,0.0,0.8027638887687433
CASE-7,1.0,2.0,1.0,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
CASE-7,1.0,2.0,1.0,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
CASE-7,1.0,2.0,1.0,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-7,1.0,2.0,1.0,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-7,2.0,3.5,1.5,MFCV,MFCV-1,1,24,False,False,220.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-7,2.0,3.5,1.5,MFCV,MFCV-2,2,23,False,False,220.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-7,2.0,3.5,1.5,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
CASE-7,2.0,3.5,1.5,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
CASE-7,2.0,3.5,1.5,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-7,2.0,3.5,1.5,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-8,0.0,3.5,3.5,MFCV,MFCV-1,1,24,False,False,220.0,0.0,0.0,10.0,0.0,10.0,0.0
CASE-8,0.0,3.5,3.5,MFCV,MFCV-2,2,24,False,False,220.0,0.0,0.0,5.0,0.0,5.0,0.0
CASE-8,0.0,3.5,3.5,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
CASE-8,0.0,3.5,3.5,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
CASE-8,0.0,3.5,3.5,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-8,0.0,3.5,3.5,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-9,0.0,3.5,3.5,MFCV,MFCV-1,1,24,False,False,220.0,0.0,0.0,10.0,0.0,10.0,0.0
CASE-9,0.0,3.5,3.5,MFCV,MFCV-2,2,24,False,False,220.0,0.0,0.0,5.0,0.0,5.0,0.0
CASE-9,0.0,3.5,3.5,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
CASE-9,0.0,3.5,3.5,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
CASE-9,0.0,3.5,3.5,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-9,0.0,3.5,3.5,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-10,0.0,1.2166666666667,1.2166666666667,MFCV,MFCV-1,1,23,False,False,220.0,0.0,0.0,10.0,0.0,10.0,0.0
CASE-10,0.0,1.2166666666667,1.2166666666667,MFCV,MFCV-2,2,24,False,False,220.0,0.0,0.0,5.0,0.0,5.0,0.0
CASE-10,0.0,1.2166666666667,1.2166666666667,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
CASE-10,0.0,1.2166666666667,1.2166666666667,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
CASE-10,0.0,1.2166666666667,1.2166666666667,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-10,0.0,1.2166666666667,1.2166666666667,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-10,1.2166666666667,3.5,2.2833333333333,MFCV,MFCV-1,1,23,True,False,220.0,0.0,-0.0,10.0,0.0,10.0,0.0
CASE-10,1.2166666666667,3.5,2.2833333333333,MFCV,MFCV-2,2,24,False,False,220.0,0.0,0.0,5.0,0.0,5.0,0.0
CASE-10,1.2166666666667,3.5,2.2833333333333,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
CASE-10,1.2166666666667,3.5,2.2833333333333,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
CASE-10,1.2166666666667,3.5,2.2833333333333,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-10,1.2166666666667,3.5,2.2833333333333,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-11,0.0,3.5,3.5,MFCV,MFCV-1,1,24,True,False,220.0,0.0,-0.0,10.0,0.0,10.0,0.0
CASE-11,0.0,3.5,3.5,MFCV,MFCV-2,2,24,False,False,220.0,0.0,0.0,5.0,0.0,5.0,0.0
CASE-11,0.0,3.5,3.5,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
CASE-11,0.0,3.5,3.5,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
CASE-11,0.0,3.5,3.5,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-11,0.0,3.5,3.5,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-12,0.0,1.0,1.0,MFCV,MFCV-1,1,24,False,True,220.0,0.0,0.0,66.6,0.0,66.6,0.0
CASE-12,0.0,1.0,1.0,MFCV,MFCV-2,2,24,False,False,220.0,0.0,0.0,5.0,0.0,5.0,0.0
CASE-12,0.0,1.0,1.0,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
CASE-12,0.0,1.0,1.0,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
CASE-12,0.0,1.0,1.0,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-12,0.0,1.0,1.0,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-12,1.0,2.0,1.0,MFCV,MFCV-1,1,24,False,True,220.0,0.0,0.0,66.6,0.0,66.6,0.0
CASE-12,1.0,2.0,1.0,MFCV,MFCV-2,2,24,False,False,220.0,0.0,0.0,5.0,0.0,5.0,0.0
CASE-12,1.0,2.0,1.0,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
CASE-12,1.0,2.0,1.0,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
CASE-12,1.0,2.0,1.0,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-12,1.0,2.0,1.0,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-12,2.0,3.5,1.5,MFCV,MFCV-1,1,24,False,True,220.0,0.0,0.0,66.6,0.0,66.6,0.0
CASE-12,2.0,3.5,1.5,MFCV,MFCV-2,2,24,False,False,220.0,0.0,0.0,5.0,0.0,5.0,0.0
CASE-12,2.0,3.5,1.5,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
CASE-12,2.0,3.5,1.5,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
CASE-12,2.0,3.5,1.5,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-12,2.0,3.5,1.5,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-13_EVENT,0.0,1.0,1.0,MFCV,MFCV-1,1,23,False,False,220.0,0.0,0.0,10.0,0.0,10.0,0.0
CASE-13_EVENT,0.0,1.0,1.0,MFCV,MFCV-2,2,24,False,False,220.0,0.0,0.0,5.0,0.0,5.0,0.0
CASE-13_EVENT,0.0,1.0,1.0,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
CASE-13_EVENT,0.0,1.0,1.0,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
CASE-13_EVENT,0.0,1.0,1.0,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-13_EVENT,0.0,1.0,1.0,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-13_EVENT,1.0,1.2166666666667,0.2166666666667001,MFCV,MFCV-1,1,23,False,False,220.0,0.0,0.0,10.0,0.0,10.0,0.0
CASE-13_EVENT,1.0,1.2166666666667,0.2166666666667001,MFCV,MFCV-2,2,24,False,False,220.0,0.0,0.0,5.0,0.0,5.0,0.0
CASE-13_EVENT,1.0,1.2166666666667,0.2166666666667001,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
CASE-13_EVENT,1.0,1.2166666666667,0.2166666666667001,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
CASE-13_EVENT,1.0,1.2166666666667,0.2166666666667001,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-13_EVENT,1.0,1.2166666666667,0.2166666666667001,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-13_EVENT,1.2166666666667,1.5,0.2833333333332999,MFCV,MFCV-1,1,23,True,False,220.0,90.0,43.58898943540673,10.0,1.3910481957284995,8.6089518042715,43.58898943540673
CASE-13_EVENT,1.2166666666667,1.5,0.2833333333332999,MFCV,MFCV-2,2,24,False,False,220.0,0.0,0.0,5.0,0.0,5.0,0.0
CASE-13_EVENT,1.2166666666667,1.5,0.2833333333332999,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
CASE-13_EVENT,1.2166666666667,1.5,0.2833333333332999,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
CASE-13_EVENT,1.2166666666667,1.5,0.2833333333332999,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-13_EVENT,1.2166666666667,1.5,0.2833333333332999,MFCV,MFCV-6,6,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
CASE-13_EVENT,1.5,3.5,2.0,MFCV,MFCV-1,1,23,True,False,220.0,78.9075000000015,38.21664648749358,8.6089518042715,8.6089518042715,0.0,38.21664648749358
CASE-13_EVENT,1.5,3.5,2.0,MFCV,MFCV-2,2,24,False,False,220.0,0.0,0.0,5.0,0.0,5.0,0.0
CASE-13_EVENT,1.5,3.5,2.0,MFCV,MFCV-3,3,14,False,False,220.0,0.0,0.0,3.0,0.0,3.0,0.0
CASE-13_EVENT,1.5,3.5,2.0,MFCV,MFCV-4,4,18,False,False,220.0,0.0,0.0,2.0,0.0,2.0,0.0
CASE-13_EVENT,1.5,3.5,2.0,MFCV,MFCV-5,5,31,False,False,220.0,0.0,0.0,4.0,0.0,4.0,0.0
