complexity_label,initial_state_id,distance_label,method,kappa,rho,T1,T2,T3,T4,T_total,objective_value,terminal_holding_cost,lambda_rho_cost,alpha_weighted_cost,robust_dual_loss,lambda,loss_mean,loss_q95,loss_q99,loss_max,service_cost_mean,shortage_kg_mean,upper_bound_count,iteration_count,active_constraint_count,active_constraint_ratio,max_independent_violation,gurobi_time_sec,separation_time_sec,independent_scan_time_sec,total_call_time_sec,observed_memory_snapshot_peak_mb,fair_scale_factor,solve_status
medium,18,new_Ctilde_k0p5,ctilde,0.5,0,300,200,100,150,750,17968.2566965198,1500,0,16468.2566965198,16468.2566965198,12614712.943279,16468.2566965198,94640.3311851519,340089.215861018,820593.853831067,1055.13447520681,7.70656111065652,4,3,4036,0.001009,3.18323145620525e-12,1.8323494,0.0706038,0.0151173,2.6784299,2508.61328125,1.11025352197467,OPTIMAL
medium,18,new_Ctilde_k0p5,ctilde,0.5,0.02,204.702050093383,114.300042933959,67.0976188527944,122.663433635752,508.763145515889,83671.1428210115,1017.52629103178,45788.1468620921,36865.4696678876,82653.6165299797,2289407.34310461,23326.4537304396,168643.533681252,432700.273357377,820593.853831067,994.237231411907,11.1661082495138,0,4,4328,0.001082,5.82076609134674e-11,6.7309593,0.092868,0.0186088,7.7545051,2522.41796875,1.11025352197467,OPTIMAL
medium,18,new_Ctilde_k1p0,ctilde,1,0,300,200,100,150,750,17968.2566965198,1500,0,16468.2566965198,16468.2566965198,7498173.28377219,16468.2566965198,94640.3311851519,340089.215861018,820593.853831067,1055.13447520681,7.70656111065652,4,3,4030,0.0010075,0,1.9125372,0.0643502,0.0156619,2.7668282,2642.06640625,1.02244799583867,OPTIMAL
medium,18,new_Ctilde_k1p0,ctilde,1,0.02,218.040459872169,123.90146941348,86.1752370538934,140.333190017697,568.45035635724,67404.0707963681,1136.90071271448,35719.0167582921,30548.1533253616,66267.1700836537,1785950.8379146,20163.056639096,115594.208636368,402893.775337373,820593.853831067,1016.89046539059,9.57308308685272,0,3,4241,0.00106025,7.27595761418343e-12,4.7967094,0.0698948,0.0199596,5.6869825,2649.66796875,1.02244799583867,OPTIMAL
medium,18,new_Ctilde_k1p5,ctilde,1.5,0,300,200,100,150,750,17968.2566965198,1500,0,16468.2566965198,16468.2566965198,5854970.68572858,16468.2566965198,94640.3311851519,340089.215861018,820593.853831067,1055.13447520681,7.70656111065652,4,3,4020,0.001005,0,1.9678076,0.0544957,0.0144452,2.8552134,2758.16796875,0.950887078808183,OPTIMAL
medium,18,new_Ctilde_k1p5,ctilde,1.5,0.02,231.194173521758,138.008602974561,90.6182631945966,137.926707697258,597.747747388174,61490.1122021024,1195.49549477635,31470.7788386881,28823.837868638,60294.6167073261,1573538.9419344,18824.1741487035,108726.4511686,375151.023527014,820593.853831067,1030.97593145482,8.89659910862435,0,4,4245,0.00106125,9.09494701772928e-13,7.9529448,0.098447,0.0183106,8.9573875,2777.41796875,0.950887078808183,OPTIMAL
complex,30,old_D_A_maskedC,old,NaN,0,300,200,100,150,750,160317.213046943,1500,0,158817.213046943,158817.213046943,34577853.6055292,158817.213046943,599163.70379563,809459.611940298,920305.904537064,3367.58399312845,77.7248145269071,4,3,4045,0.00101125,0,2.3601923,0.0765269,0.0266035,3.2553435,2442.3046875,1,OPTIMAL
complex,30,old_D_A_maskedC,old,NaN,0.02,300,200,100,150,750,320635.505815736,1500,107523.971762054,211611.534053681,319135.505815736,5376198.58810272,158817.213046943,599163.70379563,809459.611940298,920305.904537064,3367.58399312845,77.7248145269071,4,4,4595,0.00114875,1.16415321826935e-10,9.2688869,0.0936925,0.0193832,10.1067159,2453.078125,1,OPTIMAL
complex,30,new_Ctilde_k0p5,ctilde,0.5,0,300,200,100,150,750,160317.213046943,1500,0,158817.213046943,158817.213046943,39057807.9377381,158817.213046943,599163.70379563,809459.611940298,920305.904537064,3367.58399312845,77.7248145269071,4,3,4046,0.0010115,0,3.1714797,0.0995058,0.036489,4.1693539,2558.578125,1.15506787765411,OPTIMAL
complex,30,new_Ctilde_k0p5,ctilde,0.5,0.02,300,200,100,150,750,334215.570914879,1500,112590.589067132,220124.981847746,332715.570914879,5629529.4533566,158817.213046943,599163.70379563,809459.611940298,920305.904537064,3367.58399312845,77.7248145269071,4,5,4752,0.001188,1.16415321826935e-10,11.6185602,0.1303522,0.0195885,12.6404632,2583.3359375,1.15506787765411,OPTIMAL
complex,30,new_Ctilde_k1p0,ctilde,1,0,300,200,100,150,750,160317.213046943,1500,0,158817.213046943,158817.213046943,26632860.7441811,158817.213046943,599163.70379563,809459.611940298,920305.904537064,3367.58399312845,77.7248145269071,4,3,4033,0.00100825,0,2.1941475,0.0690995,0.0270285,2.9504205,2687.56640625,0.848406803855519,OPTIMAL
complex,30,new_Ctilde_k1p0,ctilde,1,0.02,300,200,100,150,750,303928.361811543,1500,101055.948414642,201372.413396901,302428.361811543,5052797.42073209,158817.213046943,599163.70379563,809459.611940298,920305.904537064,3367.58399312845,77.7248145269071,4,4,4637,0.00115925,1.16415321826935e-10,9.470299,0.1006833,0.0220934,10.3083757,2705.0546875,0.848406803855519,OPTIMAL
complex,30,new_Ctilde_k1p5,ctilde,1.5,0,300,200,100,150,750,160317.213046943,1500,0,158817.213046943,158817.213046943,22467560.7150274,158817.213046943,599163.70379563,809459.611940298,920305.904537064,3367.58399312845,77.7248145269071,4,3,4016,0.001004,0,2.1609234,0.0736751,0.0193469,3.0035399,2802.6171875,0.670842523770211,OPTIMAL
complex,30,new_Ctilde_k1p5,ctilde,1.5,0.02,300,200,100,150,750,292857.506185898,1500,93810.8804661538,197546.625719745,291357.506185898,4690544.02330769,158817.213046943,599163.70379563,809459.611940298,920305.904537064,3367.58399312845,77.7248145269071,4,4,4611,0.00115275,1.16415321826935e-10,9.8227195,0.1000615,0.0196839,10.7356665,2821.43359375,0.670842523770211,OPTIMAL
